Agent Id,Init Time (s),End Time (s),Time In Personal Area
252,140.032,141.528,1.496
254,140.032,147.24,7.208
259,169.48,177.704,8.224
263,188.215,194.536,6.321
268,189.096,193.04,3.944
276,211.471,214.016,2.545
285,245.16,247.032,1.872
