Time (s),Agent ID,Distance
140.046,41,5.90927
140.046,42,7.21395
140.046,43,8.07533
140.046,44,7.67468
140.046,45,10.7873
140.046,46,13.0986
140.046,47,14.1165
140.047,41,5.90927
140.047,42,7.21395
140.047,43,8.07533
140.047,44,7.67468
140.047,45,10.7873
140.047,46,13.0986
140.047,47,14.1165
140.062,41,5.90927
140.062,42,7.21395
140.062,43,8.07533
140.062,44,7.67468
140.062,45,10.7873
140.062,46,13.0986
140.062,47,14.1165
140.063,41,5.90927
140.063,42,7.21395
140.063,43,8.07533
140.063,44,7.67468
140.063,45,10.7873
140.063,46,13.0986
140.063,47,14.1165
140.064,41,5.90927
140.064,42,7.21395
140.064,43,8.07533
140.064,44,7.67468
140.064,45,10.7873
140.064,46,13.0986
140.064,47,14.1165
140.079,41,5.90927
140.079,42,7.21395
140.079,43,8.07533
140.079,44,7.67468
140.079,45,10.7873
140.079,46,13.0986
140.079,47,14.1165
140.08,41,5.901
140.08,42,7.20564
140.08,43,8.06721
140.08,44,7.66634
140.08,45,10.7781
140.08,46,13.0903
140.08,47,14.1077
140.081,41,5.901
140.081,42,7.20564
140.081,43,8.06721
140.081,44,7.66634
140.081,45,10.7781
140.081,46,13.0903
140.081,47,14.1077
140.096,41,5.901
140.096,42,7.20564
140.096,43,8.06721
140.096,44,7.66634
140.096,45,10.7781
140.096,46,13.0903
140.096,47,14.1077
140.097,41,5.901
140.097,42,7.20564
140.097,43,8.06721
140.097,44,7.66634
140.097,45,10.7781
140.097,46,13.0903
140.097,47,14.1077
140.098,41,5.901
140.098,42,7.20564
140.098,43,8.06721
140.098,44,7.66634
140.098,45,10.7781
140.098,46,13.0903
140.098,47,14.1077
140.113,41,5.901
140.113,42,7.20564
140.113,43,8.06721
140.113,44,7.66634
140.113,45,10.7781
140.113,46,13.0903
140.113,47,14.1077
140.114,41,5.89259
140.114,42,7.19721
140.114,43,8.05897
140.114,44,7.65787
140.114,45,10.7687
140.114,46,13.0818
140.114,47,14.0988
140.115,41,5.89259
140.115,42,7.19721
140.115,43,8.05897
140.115,44,7.65787
140.115,45,10.7687
140.115,46,13.0818
140.115,47,14.0988
140.13,41,5.89259
140.13,42,7.19721
140.13,43,8.05897
140.13,44,7.65787
140.13,45,10.7687
140.13,46,13.0818
140.13,47,14.0988
140.131,41,5.89259
140.131,42,7.19721
140.131,43,8.05897
140.131,44,7.65787
140.131,45,10.7687
140.131,46,13.0818
140.131,47,14.0988
140.132,41,5.89259
140.132,42,7.19721
140.132,43,8.05897
140.132,44,7.65787
140.132,45,10.7687
140.132,46,13.0818
140.132,47,14.0988
140.147,41,5.89259
140.147,42,7.19721
140.147,43,8.05897
140.147,44,7.65787
140.147,45,10.7687
140.147,46,13.0818
140.147,47,14.0988
140.148,41,5.88406
140.148,42,7.18868
140.148,43,8.05063
140.148,44,7.64928
140.148,45,10.7592
140.148,46,13.0732
140.148,47,14.0898
140.149,41,5.88406
140.149,42,7.18868
140.149,43,8.05063
140.149,44,7.64928
140.149,45,10.7592
140.149,46,13.0732
140.149,47,14.0898
140.164,41,5.88406
140.164,42,7.18868
140.164,43,8.05063
140.164,44,7.64928
140.164,45,10.7592
140.164,46,13.0732
140.164,47,14.0898
140.165,41,5.88406
140.165,42,7.18868
140.165,43,8.05063
140.165,44,7.64928
140.165,45,10.7592
140.165,46,13.0732
140.165,47,14.0898
140.166,41,5.88406
140.166,42,7.18868
140.166,43,8.05063
140.166,44,7.64928
140.166,45,10.7592
140.166,46,13.0732
140.166,47,14.0898
140.181,41,5.88406
140.181,42,7.18868
140.181,43,8.05063
140.181,44,7.64928
140.181,45,10.7592
140.181,46,13.0732
140.181,47,14.0898
140.182,41,5.87541
140.182,42,7.18008
140.182,43,8.04222
140.182,44,7.6406
140.182,45,10.7496
140.182,46,13.0645
