Agent Id,Init Time (s),End Time (s),Time In Personal Area
252,140.034,140.954,0.92
254,140.034,144.354,4.32
259,157.714,162.642,4.928
263,168.97,172.642,3.672
268,169.481,171.521,2.04
276,182.906,184.441,1.535
285,203.106,204.226,1.12
