Time (s),Agent ID,Distance
140.041,2,8.0103
140.041,3,7.13624
140.041,4,5.22592
140.041,5,5.61046
140.041,6,7.14126
140.042,2,8.0103
140.042,3,7.13624
140.042,4,5.22592
140.042,5,5.61046
140.042,6,7.14126
140.058,2,8.0103
140.058,3,7.13624
140.058,4,5.22592
140.058,5,5.61046
140.058,6,7.14126
140.059,2,8.0103
140.059,3,7.13624
140.059,4,5.22592
140.059,5,5.61046
140.059,6,7.14126
140.06,2,8.0103
140.06,3,7.13624
140.06,4,5.22592
140.06,5,5.61046
140.06,6,7.14126
140.076,2,8.0103
140.076,3,7.13624
140.076,4,5.22592
140.076,5,5.61046
140.076,6,7.14126
140.077,2,8.00287
140.077,3,7.12617
140.077,4,5.18544
140.077,5,5.57423
140.077,6,7.13875
140.093,2,8.00287
140.093,3,7.12617
140.093,4,5.18544
140.093,5,5.57423
140.093,6,7.13875
140.094,2,8.00287
140.094,3,7.12617
140.094,4,5.18544
140.094,5,5.57423
140.094,6,7.13875
140.095,2,8.00287
140.095,3,7.12617
140.095,4,5.18544
140.095,5,5.57423
140.095,6,7.13875
140.111,2,8.00287
140.111,3,7.12617
140.111,4,5.18544
140.111,5,5.57423
140.111,6,7.13875
140.112,2,7.99389
140.112,3,7.11352
140.112,4,5.14112
140.112,5,5.53549
140.112,6,7.13485
140.113,2,7.99389
140.113,3,7.11352
140.113,4,5.14112
140.113,5,5.53549
140.113,6,7.13485
140.129,2,7.99389
140.129,3,7.11352
140.129,4,5.14112
140.129,5,5.53549
140.129,6,7.13485
140.13,2,7.99389
140.13,3,7.11352
140.13,4,5.14112
140.13,5,5.53549
140.13,6,7.13485
140.131,2,7.99389
140.131,3,7.11352
140.131,4,5.14112
140.131,5,5.53549
140.131,6,7.13485
140.147,2,7.99389
140.147,3,7.11352
140.147,4,5.14112
140.147,5,5.53549
140.147,6,7.13485
140.148,2,7.98332
140.148,3,7.0985
140.148,4,5.09553
140.148,5,5.49502
140.148,6,7.1296
140.164,2,7.98332
140.164,3,7.0985
140.164,4,5.09553
140.164,5,5.49502
140.164,6,7.1296
140.165,2,7.98332
140.165,3,7.0985
140.165,4,5.09553
140.165,5,5.49502
140.165,6,7.1296
140.166,2,7.98332
140.166,3,7.0985
140.166,4,5.09553
140.166,5,5.49502
140.166,6,7.1296
140.182,2,7.98332
140.182,3,7.0985
140.182,4,5.09553
140.182,5,5.49502
140.182,6,7.1296
140.183,2,7.97105
140.183,3,7.08119
140.183,4,5.04748
140.183,5,5.4467
140.183,6,7.1235
140.184,2,7.97105
140.184,3,7.08119
140.184,4,5.04748
140.184,5,5.4467
