Time (s),Agent ID,Distance
140.036,2,8.02483
140.036,3,7.12652
140.036,4,5.24958
140.036,5,5.62637
140.036,6,7.141
140.037,2,8.02483
140.037,3,7.12652
140.037,4,5.24958
140.037,5,5.62637
140.037,6,7.141
140.053,2,8.02483
140.053,3,7.12652
140.053,4,5.24958
140.053,5,5.62637
140.053,6,7.141
140.054,2,8.02483
140.054,3,7.12652
140.054,4,5.24958
140.054,5,5.62637
140.054,6,7.141
140.055,2,8.02483
140.055,3,7.12652
140.055,4,5.24958
140.055,5,5.62637
140.055,6,7.141
140.071,2,8.02483
140.071,3,7.12652
140.071,4,5.24958
140.071,5,5.62637
140.071,6,7.141
140.072,2,8.02133
140.072,3,7.1245
140.072,4,5.23832
140.072,5,5.61639
140.072,6,7.14162
140.088,2,8.02133
140.088,3,7.1245
140.088,4,5.23832
140.088,5,5.61639
140.088,6,7.14162
140.089,2,8.02133
140.089,3,7.1245
140.089,4,5.23832
140.089,5,5.61639
140.089,6,7.14162
140.09,2,8.02133
140.09,3,7.1245
140.09,4,5.23832
140.09,5,5.61639
140.09,6,7.14162
140.106,2,8.02133
140.106,3,7.1245
140.106,4,5.23832
140.106,5,5.61639
140.106,6,7.14162
140.107,2,8.01762
140.107,3,7.12226
140.107,4,5.22688
140.107,5,5.60631
140.107,6,7.14207
140.108,2,8.01762
140.108,3,7.12226
140.108,4,5.22688
140.108,5,5.60631
140.108,6,7.14207
140.124,2,8.01762
140.124,3,7.12226
140.124,4,5.22688
140.124,5,5.60631
140.124,6,7.14207
140.125,2,8.01762
140.125,3,7.12226
140.125,4,5.22688
140.125,5,5.60631
140.125,6,7.14207
140.126,2,8.01762
140.126,3,7.12226
140.126,4,5.22688
140.126,5,5.60631
140.126,6,7.14207
140.142,2,8.01762
140.142,3,7.12226
140.142,4,5.22688
140.142,5,5.60631
140.142,6,7.14207
140.143,2,8.01372
140.143,3,7.11978
140.143,4,5.2152
140.143,5,5.59606
140.143,6,7.14231
140.159,2,8.01372
140.159,3,7.11978
140.159,4,5.2152
140.159,5,5.59606
140.159,6,7.14231
140.16,2,8.01372
140.16,3,7.11978
140.16,4,5.2152
140.16,5,5.59606
140.16,6,7.14231
140.161,2,8.01372
140.161,3,7.11978
140.161,4,5.2152
140.161,5,5.59606
140.161,6,7.14231
140.177,2,8.01372
140.177,3,7.11978
140.177,4,5.2152
140.177,5,5.59606
140.177,6,7.14231
140.178,2,8.00964
140.178,3,7.11708
140.178,4,5.20333
140.178,5,5.58569
140.178,6,7.14237
140.179,2,8.00964
