Time (s),Agent ID,Distance
140.043,121,9.35555
140.043,122,9.29702
140.043,123,12.1784
140.059,121,9.35555
140.059,122,9.29702
140.059,123,12.1784
140.06,121,9.35555
140.06,122,9.29702
140.06,123,12.1784
140.061,121,9.35555
140.061,122,9.29702
140.061,123,12.1784
140.077,121,9.35555
140.077,122,9.29702
140.077,123,12.1784
140.078,121,9.35991
140.078,122,9.30038
140.078,123,12.1222
140.079,121,9.35991
140.079,122,9.30038
140.079,123,12.1222
140.095,121,9.35991
140.095,122,9.30038
140.095,123,12.1222
140.096,121,9.35991
140.096,122,9.30038
140.096,123,12.1222
140.097,121,9.35991
140.097,122,9.30038
140.097,123,12.1222
140.113,121,9.35991
140.113,122,9.30038
140.113,123,12.1222
140.114,121,9.3606
140.114,122,9.30085
140.114,123,12.0625
140.13,121,9.3606
140.13,122,9.30085
140.13,123,12.0625
140.131,121,9.3606
140.131,122,9.30085
140.131,123,12.0625
140.132,121,9.3606
140.132,122,9.30085
140.132,123,12.0625
140.148,121,9.3606
140.148,122,9.30085
140.148,123,12.0625
140.149,121,9.35822
140.149,122,9.29871
140.149,123,12.0001
140.15,121,9.35822
140.15,122,9.29871
140.15,123,12.0001
140.166,121,9.35822
140.166,122,9.29871
140.166,123,12.0001
140.167,121,9.35822
140.167,122,9.29871
140.167,123,12.0001
140.168,121,9.35285
140.168,122,9.29437
140.168,123,11.9356
140.184,121,9.35285
140.184,122,9.29437
140.184,123,11.9356
140.185,121,9.35285
140.185,122,9.29437
140.185,123,11.9356
140.186,121,9.35285
140.186,122,9.29437
140.186,123,11.9356
140.202,121,9.35285
140.202,122,9.29437
140.202,123,11.9356
140.203,121,9.34505
140.203,122,9.28806
140.203,123,11.8686
140.204,121,9.34505
140.204,122,9.28806
140.204,123,11.8686
140.22,121,9.34505
140.22,122,9.28806
140.22,123,11.8686
140.221,121,9.34505
140.221,122,9.28806
140.221,123,11.8686
140.222,121,9.34505
140.222,122,9.28806
140.222,123,11.8686
140.238,121,9.34505
140.238,122,9.28806
140.238,123,11.8686
140.239,121,9.33536
140.239,122,9.28032
140.239,123,11.7999
140.255,121,9.33536
140.255,122,9.28032
140.255,123,11.7999
140.256,121,9.33536
140.256,122,9.28032
140.256,123,11.7999
140.257,121,9.33536
140.257,122,9.28032
140.257,123,11.7999
140.273,121,9.33536
140.273,122,9.28032
140.273,123,11.7999
