Time (s),x,y
140.035,9.77563,6.5942
140.051,9.77563,6.5942
140.052,9.77563,6.5942
140.053,9.77563,6.5942
140.069,9.77563,6.5942
140.07,9.75933,6.60014
140.071,9.75933,6.60014
140.087,9.75933,6.60014
140.088,9.75933,6.60014
140.104,9.75933,6.60014
140.105,9.74106,6.60515
140.106,9.74106,6.60515
140.122,9.74106,6.60515
140.123,9.74106,6.60515
140.139,9.74106,6.60515
140.14,9.72099,6.6101
140.141,9.72099,6.6101
140.157,9.72099,6.6101
140.158,9.72099,6.6101
140.174,9.72099,6.6101
140.175,9.69919,6.61395
140.176,9.69919,6.61395
140.192,9.69919,6.61395
140.193,9.69919,6.61395
140.194,9.69919,6.61395
140.21,9.69919,6.61395
140.211,9.67588,6.61825
140.212,9.67588,6.61825
140.228,9.67588,6.61825
140.229,9.67588,6.61825
140.245,9.67588,6.61825
140.246,9.65113,6.6222
140.247,9.65113,6.6222
140.263,9.65113,6.6222
140.264,9.65113,6.6222
140.265,9.65113,6.6222
140.281,9.65113,6.6222
140.282,9.62504,6.62504
140.283,9.62504,6.62504
140.299,9.62504,6.62504
140.3,9.62504,6.62504
140.301,9.62504,6.62504
140.317,9.62504,6.62504
140.318,9.59782,6.62839
140.319,9.59782,6.62839
140.335,9.59782,6.62839
140.336,9.59782,6.62839
140.337,9.59782,6.62839
140.353,9.56954,6.63105
140.354,9.56954,6.63105
140.37,9.56954,6.63105
140.371,9.56954,6.63105
140.372,9.54035,6.63326
140.388,9.54035,6.63326
140.389,9.54035,6.63326
140.405,9.54035,6.63326
140.406,9.51035,6.63478
140.407,9.51035,6.63478
140.423,9.51035,6.63478
140.424,9.51035,6.63478
140.44,9.51035,6.63478
140.441,9.47974,6.63709
140.442,9.47974,6.63709
140.458,9.47974,6.63709
140.459,9.47974,6.63709
140.46,9.47974,6.63709
140.476,9.47974,6.63709
140.477,9.4486,6.63885
140.478,9.4486,6.63885
140.494,9.4486,6.63885
140.495,9.4486,6.63885
140.511,9.4486,6.63885
140.512,9.41705,6.64013
140.513,9.41705,6.64013
140.529,9.41705,6.64013
140.53,9.41705,6.64013
140.531,9.41705,6.64013
140.547,9.41705,6.64013
140.548,9.3852,6.64015
140.564,9.3852,6.64015
140.565,9.3852,6.64015
140.566,9.3852,6.64015
140.582,9.3852,6.64015
140.583,9.3532,6.63964
140.599,9.3532,6.63964
140.6,9.3532,6.63964
140.601,9.3532,6.63964
140.617,9.3532,6.63964
140.618,9.3212,6.63924
140.634,9.3212,6.63924
140.635,9.3212,6.63924
140.636,9.3212,6.63924
140.652,9.3212,6.63924
140.653,9.28928,6.63734
140.654,9.28928,6.63734
140.67,9.28928,6.63734
140.671,9.28928,6.63734
140.672,9.28928,6.63734
140.688,9.28928,6.63734
140.689,9.25683,6.61374
140.705,9.25683,6.61374
140.706,9.25683,6.61374
140.707,9.25683,6.61374
140.723,9.25683,6.61374
140.724,9.22558,6.61176
140.725,9.22558,6.61176
140.741,9.22558,6.61176
140.742,9.22558,6.61176
140.743,9.22558,6.61176
140.759,9.22558,6.61176
140.76,9.19482,6.60861
140.761,9.19482,6.60861
140.777,9.19482,6.60861
140.778,9.19482,6.60861
140.779,9.19482,6.60861
140.795,9.16473,6.6066
140.796,9.16473,6.6066
140.797,9.16473,6.6066
140.813,9.16473,6.6066
140.814,9.13544,6.60544
140.83,9.13544,6.60544
140.831,9.13544,6.60544
140.832,9.13544,6.60544
140.848,9.13544,6.60544
140.849,9.10704,6.60425
140.865,9.10704,6.60425
140.866,9.10704,6.60425
140.882,9.10704,6.60425
140.883,9.07941,6.60342
140.884,9.07941,6.60342
140.9,9.07941,6.60342
140.901,9.07941,6.60342
140.917,9.07941,6.60342
140.918,9.05201,6.60256
140.919,9.05201,6.60256
140.935,9.05201,6.60256
140.936,9.05201,6.60256
140.952,9.05201,6.60256
140.953,9.02481,6.60302
140.954,9.02481,6.60302
140.97,9.02481,6.60302
140.971,9.02481,6.60302
140.972,9.02481,6.60302
140.988,9.02481,6.60302
140.989,8.9978,6.60224
141.005,8.9978,6.60224
141.006,8.9978,6.60224
141.007,8.9978,6.60224
141.023,8.9978,6.60224
141.024,8.97088,6.60274
141.04,8.97088,6.60274
141.041,8.97088,6.60274
141.042,8.97088,6.60274
141.058,8.97088,6.60274
141.059,8.94402,6.6034
141.075,8.94402,6.6034
141.076,8.94402,6.6034
141.077,8.94402,6.6034
141.093,8.94402,6.6034
141.094,8.91726,6.60351
141.095,8.91726,6.60351
141.111,8.91726,6.60351
141.112,8.91726,6.60351
141.128,8.91726,6.60351
141.129,8.89031,6.60477
141.13,8.89031,6.60477
141.146,8.89031,6.60477
141.147,8.89031,6.60477
141.163,8.89031,6.60477
141.164,8.86348,6.60508
141.165,8.86348,6.60508
141.181,8.86348,6.60508
141.182,8.86348,6.60508
141.198,8.86348,6.60508
141.199,8.83645,6.60593
141.2,8.83645,6.60593
141.216,8.83645,6.60593
141.217,8.83645,6.60593
141.218,8.83645,6.60593
141.234,8.83645,6.60593
141.235,8.80914,6.60719
141.251,8.80914,6.60719
141.252,8.80914,6.60719
141.253,8.80914,6.60719
141.269,8.80914,6.60719
141.27,8.78174,6.60818
141.286,8.78174,6.60818
141.287,8.78174,6.60818
141.288,8.78174,6.60818
141.304,8.78174,6.60818
141.305,8.75393,6.6097
141.321,8.75393,6.6097
141.322,8.75393,6.6097
141.323,8.75393,6.6097
141.339,8.72542,6.61225
141.34,8.72542,6.61225
141.341,8.72542,6.61225
141.357,8.72542,6.61225
141.358,8.69699,6.61393
141.359,8.69699,6.61393
141.375,8.69699,6.61393
141.376,8.69699,6.61393
141.392,8.69699,6.61393
141.393,8.66765,6.61704
141.394,8.66765,6.61704
141.41,8.66765,6.61704
141.411,8.66765,6.61704
141.427,8.66765,6.61704
141.428,8.63854,6.61919
141.429,8.63854,6.61919
141.445,8.63854,6.61919
141.446,8.63854,6.61919
141.462,8.63854,6.61919
141.463,8.60872,6.62255
141.464,8.60872,6.62255
141.48,8.60872,6.62255
141.481,8.60872,6.62255
141.497,8.60872,6.62255
141.498,8.57906,6.62556
141.499,8.57906,6.62556
141.515,8.57906,6.62556
141.516,8.57906,6.62556
141.517,8.57906,6.62556
141.533,8.57906,6.62556
141.534,8.5498,6.62793
141.535,8.5498,6.62793
141.551,8.5498,6.62793
141.552,8.5498,6.62793
141.568,8.5498,6.62793
141.569,8.52093,6.6298
141.57,8.52093,6.6298
141.586,8.52093,6.6298
141.587,8.52093,6.6298
141.588,8.52093,6.6298
141.604,8.52093,6.6298
141.605,8.492,6.63265
141.621,8.492,6.63265
141.622,8.492,6.63265
141.638,8.492,6.63265
141.639,8.46324,6.63682
141.64,8.46324,6.63682
141.656,8.46324,6.63682
141.657,8.46324,6.63682
141.673,8.46324,6.63682
141.674,8.43541,6.64047
141.675,8.43541,6.64047
141.691,8.43541,6.64047
141.692,8.43541,6.64047
141.708,8.43541,6.64047
141.709,8.40853,6.64398
141.71,8.40853,6.64398
141.726,8.40853,6.64398
141.727,8.40853,6.64398
141.728,8.40853,6.64398
141.744,8.40853,6.64398
141.745,8.37939,6.64753
141.746,8.37939,6.64753
141.762,8.37939,6.64753
141.763,8.37939,6.64753
141.779,8.37939,6.64753
141.78,8.34775,6.64974
141.781,8.34775,6.64974
141.797,8.34775,6.64974
141.798,8.34775,6.64974
141.799,8.34775,6.64974
141.815,8.31524,6.65163
141.816,8.31524,6.65163
141.817,8.31524,6.65163
141.833,8.31524,6.65163
141.834,8.28218,6.65252
141.835,8.28218,6.65252
141.851,8.28218,6.65252
141.852,8.28218,6.65252
141.853,8.28218,6.65252
141.869,8.28218,6.65252
141.87,8.24938,6.65174
141.871,8.24938,6.65174
141.887,8.24938,6.65174
141.888,8.24938,6.65174
141.904,8.24938,6.65174
141.905,8.21693,6.64999
141.906,8.21693,6.64999
141.922,8.21693,6.64999
141.923,8.21693,6.64999
141.939,8.21693,6.64999
141.94,8.18513,6.64748
141.941,8.18513,6.64748
141.957,8.18513,6.64748
141.958,8.18513,6.64748
141.974,8.18513,6.64748
141.975,8.1541,6.64452
141.976,8.1541,6.64452
141.992,8.1541,6.64452
141.993,8.1541,6.64452
141.994,8.1541,6.64452
142.01,8.1541,6.64452
142.011,8.12408,6.64133
142.012,8.12408,6.64133
142.028,8.12408,6.64133
142.029,8.12408,6.64133
142.045,8.12408,6.64133
142.046,8.09412,6.63846
142.047,8.09412,6.63846
142.063,8.09412,6.63846
142.064,8.09412,6.63846
142.065,8.09412,6.63846
142.081,8.09412,6.63846
142.082,8.06497,6.63578
142.098,8.06497,6.63578
142.099,8.06497,6.63578
142.1,8.06497,6.63578
142.116,8.06497,6.63578
142.117,8.03674,6.63348
142.133,8.03674,6.63348
142.134,8.03674,6.63348
142.135,8.03674,6.63348
142.151,8.03674,6.63348
142.152,8.00971,6.6318
142.168,8.00971,6.6318
142.169,8.00971,6.6318
142.17,8.00971,6.6318
142.186,8.00971,6.6318
142.187,7.98253,6.63082
142.203,7.98253,6.63082
142.204,7.98253,6.63082
142.205,7.98253,6.63082
142.221,7.98253,6.63082
142.222,7.95573,6.63053
142.238,7.95573,6.63053
142.239,7.95573,6.63053
142.24,7.95573,6.63053
142.256,7.95573,6.63053
142.257,7.92938,6.63088
142.258,7.92938,6.63088
142.274,7.92938,6.63088
142.275,7.92938,6.63088
142.276,7.90383,6.63179
142.292,7.90383,6.63179
142.293,7.90383,6.63179
142.309,7.90383,6.63179
142.31,7.87795,6.63292
142.311,7.87795,6.63292
142.327,7.87795,6.63292
142.328,7.87795,6.63292
142.344,7.87795,6.63292
142.345,7.87424,6.63339
142.361,7.87424,6.63339
142.362,7.87424,6.63339
142.363,7.87424,6.63339
142.379,7.87424,6.63339
142.38,7.84958,6.6316
142.396,7.84958,6.6316
142.397,7.84958,6.6316
142.398,7.84958,6.6316
142.414,7.84958,6.6316
142.415,7.82422,6.62829
142.431,7.82422,6.62829
142.432,7.82422,6.62829
142.433,7.82422,6.62829
142.449,7.82422,6.62829
142.45,7.79712,6.62362
142.451,7.79712,6.62362
142.467,7.79712,6.62362
142.469,7.79712,6.62362
142.485,7.79712,6.62362
142.486,7.76763,6.61823
142.502,7.76763,6.61823
142.503,7.76763,6.61823
142.504,7.76763,6.61823
142.52,7.76763,6.61823
142.521,7.7367,6.61143
142.522,7.7367,6.61143
142.538,7.7367,6.61143
142.539,7.7367,6.61143
142.54,7.7367,6.61143
142.556,7.7367,6.61143
142.557,7.70239,6.60594
142.558,7.70239,6.60594
142.574,7.70239,6.60594
142.575,7.70239,6.60594
142.576,7.70239,6.60594
142.592,7.70239,6.60594
142.593,7.66874,6.60221
142.594,7.66874,6.60221
142.61,7.66874,6.60221
142.611,7.66874,6.60221
142.627,7.66874,6.60221
142.628,7.6382,6.59996
142.629,7.6382,6.59996
142.645,7.6382,6.59996
142.662,7.6382,6.59996
142.663,7.6082,6.59794
142.664,7.6082,6.59794
142.68,7.6082,6.59794
142.681,7.6082,6.59794
142.697,7.6082,6.59794
142.698,7.57875,6.59596
142.699,7.57875,6.59596
142.715,7.57875,6.59596
142.716,7.57875,6.59596
142.717,7.57875,6.59596
142.733,7.54984,6.59395
142.734,7.54984,6.59395
142.735,7.54984,6.59395
142.751,7.54984,6.59395
142.752,7.52136,6.59159
142.768,7.52136,6.59159
142.769,7.52136,6.59159
142.77,7.52136,6.59159
142.786,7.52136,6.59159
142.787,7.49338,6.58922
142.788,7.49338,6.58922
142.804,7.49338,6.58922
142.805,7.49338,6.58922
142.821,7.49338,6.58922
142.822,7.46575,6.58662
142.823,7.46575,6.58662
142.839,7.46575,6.58662
142.84,7.46575,6.58662
