Time (s),Agent ID,Distance
140.043,2,8.00637
140.043,3,7.12953
140.043,4,5.20812
140.043,5,5.59505
140.043,6,7.13964
140.059,2,8.00637
140.059,3,7.12953
140.059,4,5.20812
140.059,5,5.59505
140.059,6,7.13964
140.06,2,8.00637
140.06,3,7.12953
140.06,4,5.20812
140.06,5,5.59505
140.06,6,7.13964
140.061,2,8.00637
140.061,3,7.12953
140.061,4,5.20812
140.061,5,5.59505
140.061,6,7.13964
140.077,2,8.00637
140.077,3,7.12953
140.077,4,5.20812
140.077,5,5.59505
140.077,6,7.13964
140.078,2,7.9953
140.078,3,7.11164
140.078,4,5.14443
140.078,5,5.53836
140.078,6,7.13241
140.079,2,7.9953
140.079,3,7.11164
140.079,4,5.14443
140.079,5,5.53836
140.079,6,7.13241
140.095,2,7.9953
140.095,3,7.11164
140.095,4,5.14443
140.095,5,5.53836
140.095,6,7.13241
140.096,2,7.9953
140.096,3,7.11164
140.096,4,5.14443
140.096,5,5.53836
140.096,6,7.13241
140.112,2,7.9953
140.112,3,7.11164
140.112,4,5.14443
140.112,5,5.53836
140.112,6,7.13241
140.113,2,7.98024
140.113,3,7.08826
140.113,4,5.07538
140.113,5,5.4772
140.113,6,7.12201
140.114,2,7.98024
140.114,3,7.08826
140.114,4,5.07538
140.114,5,5.4772
140.114,6,7.12201
140.13,2,7.98024
140.13,3,7.08826
140.13,4,5.07538
140.13,5,5.4772
140.13,6,7.12201
140.131,2,7.98024
140.131,3,7.08826
140.131,4,5.07538
140.131,5,5.4772
140.131,6,7.12201
140.132,2,7.98024
140.132,3,7.08826
140.132,4,5.07538
140.132,5,5.4772
140.132,6,7.12201
140.148,2,7.98024
140.148,3,7.08826
140.148,4,5.07538
140.148,5,5.4772
140.148,6,7.12201
140.149,2,7.9607
140.149,3,7.06011
140.149,4,5.00029
140.149,5,5.41182
140.149,6,7.10965
140.165,2,7.9607
140.165,3,7.06011
140.165,4,5.00029
140.165,5,5.41182
140.165,6,7.10965
140.166,2,7.9607
140.166,3,7.06011
140.166,4,5.00029
140.166,5,5.41182
140.166,6,7.10965
140.167,2,7.9607
140.167,3,7.06011
140.167,4,5.00029
140.167,5,5.41182
140.167,6,7.10965
140.183,2,7.93669
140.183,3,7.02777
140.183,4,4.92191
140.183,5,5.33714
140.183,6,7.09529
140.184,2,7.93669
140.184,3,7.02777
140.184,4,4.92191
140.184,5,5.33714
140.184,6,7.09529
140.2,2,7.93669
140.2,3,7.02777
140.2,4,4.92191
140.2,5,5.33714
140.2,6,7.09529
140.201,2,7.93669
140.201,3,7.02777
140.201,4,4.92191
140.201,5,5.33714
140.201,6,7.09529
140.202,2,7.90818
140.202,3,6.99192
140.202,4,4.83969
140.202,5,5.26465
140.202,6,7.08037
