Agent Id,Init Time (s),End Time (s),Time In Personal Area
252,140.033,141.529,1.496
254,140.033,147.241,7.208
259,169.481,177.705,8.224
263,188.21,194.537,6.327
268,189.097,193.041,3.944
276,211.466,214.017,2.551
285,245.161,247.033,1.872
