Time (s),x,y
140.039,13.0989,6.0507
140.04,13.0989,6.0507
140.055,13.0989,6.0507
140.056,13.0989,6.0507
140.057,13.0989,6.0507
140.072,13.0989,6.0507
140.073,13.0975,6.05236
140.074,13.0975,6.05236
140.089,13.0975,6.05236
140.09,13.0975,6.05236
140.091,13.0975,6.05236
140.106,13.0975,6.05236
140.107,13.0961,6.05408
140.108,13.0961,6.05408
140.123,13.0961,6.05408
140.124,13.0961,6.05408
140.125,13.0961,6.05408
140.14,13.0961,6.05408
140.141,13.0947,6.05581
140.142,13.0947,6.05581
140.157,13.0947,6.05581
140.158,13.0947,6.05581
140.159,13.0947,6.05581
140.174,13.0947,6.05581
140.175,13.0932,6.05751
140.176,13.0932,6.05751
140.191,13.0932,6.05751
140.192,13.0932,6.05751
140.193,13.0932,6.05751
140.208,13.0932,6.05751
140.209,13.0918,6.05925
140.21,13.0918,6.05925
140.225,13.0918,6.05925
140.226,13.0918,6.05925
140.227,13.0918,6.05925
140.242,13.0918,6.05925
140.243,13.0902,6.06063
140.244,13.0902,6.06063
140.259,13.0902,6.06063
140.26,13.0902,6.06063
140.261,13.0902,6.06063
140.276,13.0902,6.06063
140.277,13.0886,6.06191
140.278,13.0886,6.06191
140.293,13.0886,6.06191
140.294,13.0886,6.06191
140.295,13.0886,6.06191
140.31,13.0886,6.06191
140.311,13.087,6.06317
140.312,13.087,6.06317
140.327,13.087,6.06317
140.328,13.087,6.06317
140.329,13.087,6.06317
140.344,13.087,6.06317
140.345,13.0854,6.06444
140.346,13.0854,6.06444
140.361,13.0854,6.06444
140.362,13.0854,6.06444
140.363,13.0854,6.06444
140.378,13.0854,6.06444
140.379,13.0838,6.06571
140.38,13.0838,6.06571
140.395,13.0838,6.06571
140.396,13.0838,6.06571
140.397,13.0838,6.06571
140.412,13.0838,6.06571
140.413,13.0822,6.06695
140.414,13.0822,6.06695
140.429,13.0822,6.06695
140.43,13.0822,6.06695
140.431,13.0822,6.06695
140.446,13.0822,6.06695
140.447,13.0805,6.06814
140.448,13.0805,6.06814
140.463,13.0805,6.06814
140.464,13.0805,6.06814
140.465,13.0805,6.06814
140.48,13.0805,6.06814
140.481,13.0788,6.06917
140.482,13.0788,6.06917
140.497,13.0788,6.06917
140.498,13.0788,6.06917
140.499,13.0788,6.06917
140.514,13.0788,6.06917
140.515,13.077,6.07021
140.516,13.077,6.07021
140.531,13.077,6.07021
140.532,13.077,6.07021
140.533,13.077,6.07021
140.548,13.077,6.07021
140.549,13.0752,6.0713
140.55,13.0752,6.0713
140.565,13.0752,6.0713
140.566,13.0752,6.0713
140.567,13.0752,6.0713
140.582,13.0752,6.0713
140.583,13.0735,6.0724
140.584,13.0735,6.0724
140.599,13.0735,6.0724
140.6,13.0735,6.0724
140.601,13.0735,6.0724
140.616,13.0735,6.0724
140.617,13.0717,6.07357
140.618,13.0717,6.07357
140.633,13.0717,6.07357
140.634,13.0717,6.07357
140.635,13.0717,6.07357
140.65,13.0717,6.07357
140.651,13.0699,6.07472
140.652,13.0699,6.07472
140.667,13.0699,6.07472
140.668,13.0699,6.07472
140.669,13.0699,6.07472
140.684,13.0699,6.07472
140.685,13.0681,6.07579
140.686,13.0681,6.07579
140.701,13.0681,6.07579
140.702,13.0681,6.07579
140.703,13.0681,6.07579
140.718,13.0681,6.07579
140.719,13.0662,6.07683
140.72,13.0662,6.07683
140.735,13.0662,6.07683
140.736,13.0662,6.07683
140.737,13.0662,6.07683
140.752,13.0662,6.07683
140.753,13.0643,6.0778
140.754,13.0643,6.0778
140.769,13.0643,6.0778
140.77,13.0643,6.0778
140.771,13.0643,6.0778
140.786,13.0643,6.0778
140.787,13.0623,6.07859
140.788,13.0623,6.07859
140.803,13.0623,6.07859
140.804,13.0623,6.07859
140.805,13.0623,6.07859
140.82,13.0623,6.07859
140.821,13.0603,6.07938
140.822,13.0603,6.07938
140.837,13.0603,6.07938
140.838,13.0603,6.07938
140.839,13.0603,6.07938
140.854,13.0603,6.07938
140.855,13.0582,6.08017
140.856,13.0582,6.08017
140.871,13.0582,6.08017
140.872,13.0582,6.08017
140.873,13.0582,6.08017
140.888,13.0582,6.08017
140.889,13.0562,6.08097
140.89,13.0562,6.08097
140.905,13.0562,6.08097
140.906,13.0562,6.08097
140.907,13.0562,6.08097
140.922,13.0562,6.08097
140.923,13.0541,6.08177
140.924,13.0541,6.08177
140.939,13.0541,6.08177
140.94,13.0541,6.08177
140.941,13.0541,6.08177
140.956,13.0541,6.08177
140.957,13.052,6.08258
140.958,13.052,6.08258
140.973,13.052,6.08258
140.974,13.052,6.08258
140.975,13.052,6.08258
140.99,13.052,6.08258
140.991,13.0499,6.0835
140.992,13.0499,6.0835
141.007,13.0499,6.0835
141.008,13.0499,6.0835
141.009,13.0499,6.0835
141.024,13.0499,6.0835
141.025,13.0477,6.08443
141.026,13.0477,6.08443
141.041,13.0477,6.08443
141.042,13.0477,6.08443
141.043,13.0477,6.08443
141.058,13.0477,6.08443
141.059,13.0455,6.08536
141.06,13.0455,6.08536
141.075,13.0455,6.08536
141.076,13.0455,6.08536
141.077,13.0455,6.08536
141.092,13.0455,6.08536
141.093,13.0433,6.08629
141.094,13.0433,6.08629
141.109,13.0433,6.08629
141.11,13.0433,6.08629
141.111,13.0433,6.08629
141.126,13.0433,6.08629
141.127,13.0411,6.08723
141.128,13.0411,6.08723
141.143,13.0411,6.08723
141.144,13.0411,6.08723
141.145,13.0411,6.08723
141.16,13.0411,6.08723
141.161,13.0388,6.08818
141.162,13.0388,6.08818
141.177,13.0388,6.08818
141.178,13.0388,6.08818
141.179,13.0388,6.08818
141.194,13.0388,6.08818
141.195,13.0365,6.08914
141.196,13.0365,6.08914
141.211,13.0365,6.08914
141.212,13.0365,6.08914
141.213,13.0365,6.08914
141.228,13.0365,6.08914
141.229,13.0342,6.09005
141.23,13.0342,6.09005
141.245,13.0342,6.09005
141.246,13.0342,6.09005
141.247,13.0342,6.09005
141.262,13.0342,6.09005
141.263,13.0318,6.09086
141.264,13.0318,6.09086
141.279,13.0318,6.09086
141.28,13.0318,6.09086
141.281,13.0318,6.09086
141.296,13.0318,6.09086
141.297,13.0293,6.09167
141.298,13.0293,6.09167
141.313,13.0293,6.09167
141.314,13.0293,6.09167
141.315,13.0293,6.09167
141.33,13.0293,6.09167
141.331,13.0269,6.0925
141.332,13.0269,6.0925
141.347,13.0269,6.0925
141.348,13.0269,6.0925
141.349,13.0269,6.0925
141.364,13.0269,6.0925
141.365,13.0244,6.09339
141.366,13.0244,6.09339
141.381,13.0244,6.09339
141.382,13.0244,6.09339
141.383,13.0244,6.09339
141.398,13.0244,6.09339
141.399,13.0218,6.09432
141.4,13.0218,6.09432
141.415,13.0218,6.09432
141.416,13.0218,6.09432
141.417,13.0218,6.09432
141.432,13.0218,6.09432
141.433,13.0193,6.09526
141.434,13.0193,6.09526
141.449,13.0193,6.09526
141.45,13.0193,6.09526
141.451,13.0193,6.09526
141.466,13.0193,6.09526
141.467,13.0167,6.09625
141.468,13.0167,6.09625
141.483,13.0167,6.09625
141.484,13.0167,6.09625
141.485,13.0167,6.09625
141.5,13.0167,6.09625
141.501,13.0141,6.09734
141.502,13.0141,6.09734
141.517,13.0141,6.09734
141.518,13.0141,6.09734
141.519,13.0141,6.09734
141.534,13.0141,6.09734
141.535,13.0114,6.09844
141.536,13.0114,6.09844
141.551,13.0114,6.09844
141.552,13.0114,6.09844
141.553,13.0114,6.09844
141.568,13.0114,6.09844
141.569,13.0087,6.09952
141.57,13.0087,6.09952
141.585,13.0087,6.09952
141.586,13.0087,6.09952
141.587,13.0087,6.09952
141.602,13.0087,6.09952
141.603,13.0059,6.10058
141.604,13.0059,6.10058
141.619,13.0059,6.10058
141.62,13.0059,6.10058
141.621,13.0059,6.10058
141.636,13.0059,6.10058
141.637,13.0032,6.10164
141.638,13.0032,6.10164
141.653,13.0032,6.10164
141.654,13.0032,6.10164
141.655,13.0032,6.10164
141.67,13.0032,6.10164
141.671,13.0003,6.10258
141.672,13.0003,6.10258
141.687,13.0003,6.10258
141.688,13.0003,6.10258
141.689,13.0003,6.10258
141.704,13.0003,6.10258
141.705,12.9974,6.10353
141.706,12.9974,6.10353
141.721,12.9974,6.10353
141.722,12.9974,6.10353
141.723,12.9974,6.10353
141.738,12.9974,6.10353
141.739,12.9944,6.10442
141.74,12.9944,6.10442
141.755,12.9944,6.10442
141.756,12.9944,6.10442
141.757,12.9944,6.10442
141.772,12.9944,6.10442
141.773,12.9913,6.10527
141.774,12.9913,6.10527
141.789,12.9913,6.10527
141.79,12.9913,6.10527
141.791,12.9913,6.10527
141.806,12.9913,6.10527
141.807,12.9882,6.10619
141.808,12.9882,6.10619
141.823,12.9882,6.10619
141.824,12.9882,6.10619
141.825,12.9882,6.10619
141.84,12.9882,6.10619
141.841,12.9852,6.10737
141.842,12.9852,6.10737
141.857,12.9852,6.10737
141.858,12.9852,6.10737
141.859,12.9852,6.10737
141.874,12.9852,6.10737
141.875,12.9821,6.10857
141.876,12.9821,6.10857
141.891,12.9821,6.10857
141.892,12.9821,6.10857
141.893,12.9821,6.10857
141.908,12.9821,6.10857
141.909,12.9789,6.10978
141.91,12.9789,6.10978
141.925,12.9789,6.10978
141.926,12.9789,6.10978
141.927,12.9789,6.10978
141.942,12.9789,6.10978
141.943,12.9757,6.11101
141.944,12.9757,6.11101
141.959,12.9757,6.11101
141.96,12.9757,6.11101
141.961,12.9757,6.11101
141.976,12.9757,6.11101
141.977,12.9724,6.11208
141.978,12.9724,6.11208
141.993,12.9724,6.11208
141.994,12.9724,6.11208
141.995,12.9724,6.11208
142.01,12.9724,6.11208
142.011,12.9691,6.11313
142.012,12.9691,6.11313
142.027,12.9691,6.11313
142.028,12.9691,6.11313
142.029,12.9691,6.11313
142.044,12.9691,6.11313
142.045,12.9656,6.11413
142.046,12.9656,6.11413
142.061,12.9656,6.11413
142.062,12.9656,6.11413
142.063,12.9656,6.11413
142.078,12.9656,6.11413
142.079,12.9621,6.11512
142.08,12.9621,6.11512
142.095,12.9621,6.11512
142.096,12.9621,6.11512
142.097,12.9621,6.11512
142.112,12.9621,6.11512
142.113,12.9586,6.11616
142.114,12.9586,6.11616
142.129,12.9586,6.11616
142.13,12.9586,6.11616
142.131,12.9586,6.11616
142.146,12.9586,6.11616
142.147,12.955,6.11723
142.148,12.955,6.11723
142.163,12.955,6.11723
142.164,12.955,6.11723
142.165,12.955,6.11723
142.18,12.955,6.11723
142.181,12.9514,6.11841
142.182,12.9514,6.11841
142.197,12.9514,6.11841
142.198,12.9514,6.11841
142.199,12.9514,6.11841
142.214,12.9514,6.11841
142.215,12.9477,6.11959
142.216,12.9477,6.11959
142.231,12.9477,6.11959
142.232,12.9477,6.11959
142.233,12.9477,6.11959
142.248,12.9477,6.11959
142.249,12.944,6.1207
142.25,12.944,6.1207
142.265,12.944,6.1207
142.266,12.944,6.1207
142.267,12.944,6.1207
142.282,12.944,6.1207
142.283,12.9401,6.12172
142.284,12.9401,6.12172
142.299,12.9401,6.12172
142.3,12.9401,6.12172
142.301,12.9401,6.12172
142.316,12.9401,6.12172
142.317,12.9362,6.12266
142.318,12.9362,6.12266
142.333,12.9362,6.12266
142.334,12.9362,6.12266
142.335,12.9362,6.12266
142.35,12.9362,6.12266
142.351,12.9323,6.12377
142.352,12.9323,6.12377
142.367,12.9323,6.12377
142.368,12.9323,6.12377
142.369,12.9323,6.12377
142.384,12.9323,6.12377
142.385,12.9283,6.12493
142.386,12.9283,6.12493
142.401,12.9283,6.12493
142.402,12.9283,6.12493
142.403,12.9283,6.12493
142.418,12.9283,6.12493
142.419,12.9242,6.1261
142.42,12.9242,6.1261
