Time (s),x,y
140.032,12.3721,4.34693
140.033,12.3721,4.34693
140.045,12.3721,4.34693
140.046,12.3721,4.34693
140.047,12.3721,4.34693
140.059,12.3721,4.34693
140.06,12.3721,4.34693
140.061,12.3721,4.34693
140.073,12.3721,4.34693
140.074,12.3673,4.34943
140.075,12.3673,4.34943
140.087,12.3673,4.34943
140.088,12.3673,4.34943
140.089,12.3673,4.34943
140.101,12.3673,4.34943
140.102,12.362,4.35201
140.103,12.362,4.35201
140.115,12.362,4.35201
140.116,12.362,4.35201
140.117,12.362,4.35201
140.129,12.362,4.35201
140.13,12.362,4.35201
140.131,12.362,4.35201
140.143,12.362,4.35201
140.144,12.3563,4.35466
140.145,12.3563,4.35466
140.157,12.3563,4.35466
140.158,12.3563,4.35466
140.159,12.3563,4.35466
140.171,12.3563,4.35466
140.172,12.3502,4.35664
140.173,12.3502,4.35664
140.185,12.3502,4.35664
140.186,12.3502,4.35664
140.187,12.3502,4.35664
140.199,12.3502,4.35664
140.2,12.3502,4.35664
140.201,12.3502,4.35664
140.213,12.3438,4.35859
140.214,12.3438,4.35859
140.215,12.3438,4.35859
140.227,12.3438,4.35859
140.228,12.3438,4.35859
140.229,12.3438,4.35859
140.241,12.3438,4.35859
140.242,12.3371,4.36056
140.243,12.3371,4.36056
140.255,12.3371,4.36056
140.256,12.3371,4.36056
140.257,12.3371,4.36056
140.269,12.3371,4.36056
140.27,12.33,4.36244
140.271,12.33,4.36244
140.283,12.33,4.36244
140.284,12.33,4.36244
140.285,12.33,4.36244
140.297,12.33,4.36244
140.298,12.33,4.36244
140.299,12.33,4.36244
140.311,12.33,4.36244
140.312,12.3227,4.36399
140.313,12.3227,4.36399
140.325,12.3227,4.36399
140.326,12.3227,4.36399
140.327,12.3227,4.36399
140.339,12.3227,4.36399
140.34,12.3151,4.36565
140.341,12.3151,4.36565
140.353,12.3151,4.36565
140.354,12.3151,4.36565
140.355,12.3151,4.36565
140.367,12.3151,4.36565
140.368,12.3151,4.36565
140.369,12.3151,4.36565
140.381,12.3151,4.36565
140.382,12.3071,4.36743
140.383,12.3071,4.36743
140.395,12.3071,4.36743
140.396,12.3071,4.36743
140.397,12.3071,4.36743
140.409,12.3071,4.36743
140.41,12.2989,4.369
140.411,12.2989,4.369
140.423,12.2989,4.369
140.424,12.2989,4.369
140.425,12.2989,4.369
140.437,12.2989,4.369
140.438,12.2989,4.369
140.439,12.2989,4.369
140.451,12.2907,4.37004
140.452,12.2907,4.37004
140.453,12.2907,4.37004
140.465,12.2907,4.37004
140.466,12.2907,4.37004
140.467,12.2907,4.37004
140.479,12.2907,4.37004
140.48,12.2824,4.37097
140.481,12.2824,4.37097
140.493,12.2824,4.37097
140.494,12.2824,4.37097
140.495,12.2824,4.37097
140.507,12.2824,4.37097
140.508,12.2737,4.37208
140.509,12.2737,4.37208
140.521,12.2737,4.37208
140.522,12.2737,4.37208
140.523,12.2737,4.37208
140.535,12.2737,4.37208
140.536,12.2737,4.37208
140.537,12.2737,4.37208
140.549,12.2737,4.37208
140.55,12.2647,4.3732
140.551,12.2647,4.3732
140.563,12.2647,4.3732
140.564,12.2647,4.3732
140.565,12.2647,4.3732
140.577,12.2647,4.3732
140.578,12.2557,4.37408
140.579,12.2557,4.37408
140.591,12.2557,4.37408
140.592,12.2557,4.37408
140.593,12.2557,4.37408
140.605,12.2557,4.37408
140.606,12.2557,4.37408
140.607,12.2557,4.37408
140.619,12.2557,4.37408
140.62,12.2468,4.37465
140.621,12.2468,4.37465
140.633,12.2468,4.37465
140.634,12.2468,4.37465
140.635,12.2468,4.37465
140.647,12.2468,4.37465
140.648,12.2377,4.37528
140.649,12.2377,4.37528
140.661,12.2377,4.37528
140.662,12.2377,4.37528
140.663,12.2377,4.37528
140.675,12.2377,4.37528
140.676,12.2377,4.37528
140.677,12.2377,4.37528
140.689,12.2282,4.37602
140.69,12.2282,4.37602
140.691,12.2282,4.37602
140.703,12.2282,4.37602
140.704,12.2282,4.37602
140.705,12.2282,4.37602
140.717,12.2282,4.37602
140.718,12.2188,4.37659
140.719,12.2188,4.37659
140.731,12.2188,4.37659
140.732,12.2188,4.37659
140.733,12.2188,4.37659
140.745,12.2188,4.37659
140.746,12.2096,4.37691
140.747,12.2096,4.37691
140.759,12.2096,4.37691
140.76,12.2096,4.37691
140.761,12.2096,4.37691
140.773,12.2096,4.37691
140.774,12.2096,4.37691
140.775,12.2096,4.37691
140.787,12.2096,4.37691
140.788,12.2005,4.37709
140.789,12.2005,4.37709
140.801,12.2005,4.37709
140.802,12.2005,4.37709
140.803,12.2005,4.37709
140.815,12.2005,4.37709
140.816,12.191,4.37744
140.817,12.191,4.37744
140.829,12.191,4.37744
140.83,12.191,4.37744
140.831,12.191,4.37744
140.843,12.191,4.37744
140.844,12.191,4.37744
140.845,12.191,4.37744
140.857,12.191,4.37744
140.858,12.1813,4.37785
140.859,12.1813,4.37785
140.871,12.1813,4.37785
140.872,12.1813,4.37785
140.873,12.1813,4.37785
140.885,12.1813,4.37785
140.886,12.1717,4.37814
140.887,12.1717,4.37814
140.899,12.1717,4.37814
140.9,12.1717,4.37814
140.901,12.1717,4.37814
140.913,12.1717,4.37814
140.914,12.1717,4.37814
140.915,12.1717,4.37814
140.927,12.1623,4.37833
140.928,12.1623,4.37833
140.929,12.1623,4.37833
140.941,12.1623,4.37833
140.942,12.1623,4.37833
140.943,12.1623,4.37833
140.955,12.1623,4.37833
140.956,12.153,4.37855
140.957,12.153,4.37855
140.969,12.153,4.37855
140.97,12.153,4.37855
140.971,12.153,4.37855
140.983,12.153,4.37855
140.984,12.1434,4.37882
140.985,12.1434,4.37882
140.997,12.1434,4.37882
140.998,12.1434,4.37882
140.999,12.1434,4.37882
141.011,12.1434,4.37882
141.012,12.1434,4.37882
141.013,12.1434,4.37882
141.025,12.1434,4.37882
141.026,12.1338,4.37911
141.027,12.1338,4.37911
141.039,12.1338,4.37911
141.04,12.1338,4.37911
141.041,12.1338,4.37911
141.053,12.1338,4.37911
141.054,12.1245,4.37937
141.055,12.1245,4.37937
141.067,12.1245,4.37937
141.068,12.1245,4.37937
141.069,12.1245,4.37937
141.081,12.1245,4.37937
141.082,12.1245,4.37937
141.083,12.1245,4.37937
141.095,12.1245,4.37937
141.096,12.115,4.37972
141.097,12.115,4.37972
141.109,12.115,4.37972
141.11,12.115,4.37972
141.111,12.115,4.37972
141.123,12.115,4.37972
141.124,12.1054,4.38011
141.125,12.1054,4.38011
141.137,12.1054,4.38011
141.138,12.1054,4.38011
141.139,12.1054,4.38011
141.151,12.1054,4.38011
141.152,12.1054,4.38011
141.153,12.1054,4.38011
141.165,12.096,4.38054
141.166,12.096,4.38054
141.167,12.096,4.38054
141.179,12.096,4.38054
141.18,12.096,4.38054
141.181,12.096,4.38054
141.193,12.096,4.38054
141.194,12.0866,4.38103
141.195,12.0866,4.38103
141.207,12.0866,4.38103
141.208,12.0866,4.38103
141.209,12.0866,4.38103
141.221,12.0866,4.38103
141.222,12.0773,4.38159
141.223,12.0773,4.38159
141.235,12.0773,4.38159
141.236,12.0773,4.38159
141.237,12.0773,4.38159
141.249,12.0773,4.38159
141.25,12.0773,4.38159
141.251,12.0773,4.38159
141.263,12.0773,4.38159
141.264,12.0674,4.38221
141.265,12.0674,4.38221
141.277,12.0674,4.38221
141.278,12.0674,4.38221
141.279,12.0674,4.38221
141.291,12.0674,4.38221
141.292,12.0575,4.38288
141.293,12.0575,4.38288
141.305,12.0575,4.38288
141.306,12.0575,4.38288
141.307,12.0575,4.38288
141.319,12.0575,4.38288
141.32,12.0575,4.38288
141.321,12.0575,4.38288
141.333,12.0575,4.38288
141.334,12.0479,4.38363
141.335,12.0479,4.38363
141.347,12.0479,4.38363
141.348,12.0479,4.38363
141.349,12.0479,4.38363
141.361,12.0479,4.38363
141.362,12.0384,4.38446
141.363,12.0384,4.38446
141.375,12.0384,4.38446
141.376,12.0384,4.38446
141.377,12.0384,4.38446
141.389,12.0384,4.38446
141.39,12.0384,4.38446
141.391,12.0384,4.38446
141.403,12.0286,4.38534
141.404,12.0286,4.38534
141.405,12.0286,4.38534
141.417,12.0286,4.38534
141.418,12.0286,4.38534
141.419,12.0286,4.38534
141.431,12.0286,4.38534
141.432,12.0187,4.38628
141.433,12.0187,4.38628
141.445,12.0187,4.38628
141.446,12.0187,4.38628
141.447,12.0187,4.38628
141.459,12.0187,4.38628
141.46,12.0093,4.38734
141.461,12.0093,4.38734
141.473,12.0093,4.38734
141.474,12.0093,4.38734
141.475,12.0093,4.38734
141.487,12.0093,4.38734
141.488,12.0093,4.38734
141.489,12.0093,4.38734
141.501,12.0093,4.38734
141.502,11.9996,4.38843
141.503,11.9996,4.38843
141.515,11.9996,4.38843
141.516,11.9996,4.38843
141.517,11.9996,4.38843
141.529,11.9996,4.38843
141.53,11.9896,4.38957
141.531,11.9896,4.38957
141.543,11.9896,4.38957
141.544,11.9896,4.38957
141.545,11.9896,4.38957
141.557,11.9896,4.38957
141.558,11.9896,4.38957
141.559,11.9896,4.38957
141.571,11.9896,4.38957
141.572,11.9805,4.39085
141.573,11.9805,4.39085
141.585,11.9805,4.39085
141.586,11.9805,4.39085
141.587,11.9805,4.39085
141.599,11.9805,4.39085
141.6,11.9712,4.39218
141.601,11.9712,4.39218
141.613,11.9712,4.39218
141.614,11.9712,4.39218
141.615,11.9712,4.39218
141.627,11.9712,4.39218
141.628,11.9712,4.39218
141.629,11.9712,4.39218
141.641,11.9614,4.39351
141.642,11.9614,4.39351
141.643,11.9614,4.39351
141.655,11.9614,4.39351
141.656,11.9614,4.39351
141.657,11.9614,4.39351
141.669,11.9614,4.39351
141.67,11.9518,4.3949
141.671,11.9518,4.3949
141.683,11.9518,4.3949
141.684,11.9518,4.3949
141.685,11.9518,4.3949
141.697,11.9518,4.3949
141.698,11.9427,4.39635
141.699,11.9427,4.39635
141.711,11.9427,4.39635
141.712,11.9427,4.39635
141.713,11.9427,4.39635
141.725,11.9427,4.39635
141.726,11.9427,4.39635
141.727,11.9427,4.39635
141.739,11.9427,4.39635
141.74,11.9336,4.39782
141.741,11.9336,4.39782
141.753,11.9336,4.39782
141.754,11.9336,4.39782
141.755,11.9336,4.39782
141.767,11.9336,4.39782
141.768,11.9241,4.39929
141.769,11.9241,4.39929
141.781,11.9241,4.39929
141.782,11.9241,4.39929
141.783,11.9241,4.39929
141.795,11.9241,4.39929
141.796,11.9241,4.39929
141.797,11.9241,4.39929
141.809,11.9241,4.39929
141.81,11.9147,4.40078
141.811,11.9147,4.40078
141.823,11.9147,4.40078
141.824,11.9147,4.40078
141.825,11.9147,4.40078
141.837,11.9147,4.40078
141.838,11.9057,4.40223
141.839,11.9057,4.40223
141.851,11.9057,4.40223
141.852,11.9057,4.40223
141.853,11.9057,4.40223
141.865,11.9057,4.40223
141.866,11.9057,4.40223
141.867,11.9057,4.40223
141.879,11.8968,4.40365
141.88,11.8968,4.40365
141.881,11.8968,4.40365
141.893,11.8968,4.40365
141.894,11.8968,4.40365
141.895,11.8968,4.40365
141.907,11.8968,4.40365
141.908,11.8882,4.40496
141.909,11.8882,4.40496
141.921,11.8882,4.40496
141.922,11.8882,4.40496
141.923,11.8882,4.40496
141.935,11.8882,4.40496
141.936,11.8797,4.40617
141.937,11.8797,4.40617
141.949,11.8797,4.40617
141.95,11.8797,4.40617
141.951,11.8797,4.40617
141.963,11.8797,4.40617
141.964,11.8797,4.40617
141.965,11.8797,4.40617
141.977,11.8797,4.40617
141.978,11.8711,4.40734
141.979,11.8711,4.40734
141.991,11.8711,4.40734
141.992,11.8711,4.40734
141.993,11.8711,4.40734
142.005,11.8711,4.40734
142.006,11.8625,4.40842
142.007,11.8625,4.40842
142.019,11.8625,4.40842
142.02,11.8625,4.40842
142.021,11.8625,4.40842
142.033,11.8625,4.40842
142.034,11.8625,4.40842
142.035,11.8625,4.40842
142.047,11.8625,4.40842
142.048,11.8542,4.40926
142.049,11.8542,4.40926
142.061,11.8542,4.40926
142.062,11.8542,4.40926
142.063,11.8542,4.40926
142.075,11.8542,4.40926
142.076,11.8461,4.40989
142.077,11.8461,4.40989
142.089,11.8461,4.40989
142.09,11.8461,4.40989
142.091,11.8461,4.40989
142.103,11.8461,4.40989
142.104,11.8461,4.40989
142.105,11.8461,4.40989
142.117,11.8563,4.39811
142.118,11.8563,4.39811
142.119,11.8563,4.39811
142.131,11.8563,4.39811
142.132,11.8563,4.39811
142.133,11.8563,4.39811
142.145,11.8563,4.39811
142.146,11.847,4.39699
142.147,11.847,4.39699
142.159,11.847,4.39699
142.16,11.847,4.39699
142.161,11.847,4.39699
142.173,11.847,4.39699
142.174,11.8378,4.39553
142.175,11.8378,4.39553
142.187,11.8378,4.39553
142.188,11.8378,4.39553
142.189,11.8378,4.39553
142.201,11.8378,4.39553
142.202,11.8378,4.39553
142.203,11.8378,4.39553
142.215,11.8378,4.39553
142.216,11.8285,4.39367
142.217,11.8285,4.39367
142.229,11.8285,4.39367
142.23,11.8285,4.39367
142.231,11.8285,4.39367
142.243,11.8285,4.39367
142.244,11.8191,4.39149
142.245,11.8191,4.39149
142.257,11.8191,4.39149
142.258,11.8191,4.39149
142.259,11.8191,4.39149
142.271,11.8191,4.39149
142.272,11.8191,4.39149
142.273,11.8191,4.39149
142.285,11.8191,4.39149
142.286,11.8094,4.38916
142.287,11.8094,4.38916
142.299,11.8094,4.38916
142.3,11.8094,4.38916
142.301,11.8094,4.38916
142.313,11.8094,4.38916
142.314,11.7993,4.38684
142.315,11.7993,4.38684
142.327,11.7993,4.38684
142.328,11.7993,4.38684
142.329,11.7993,4.38684
142.341,11.7993,4.38684
142.342,11.7993,4.38684
142.343,11.7993,4.38684
142.355,11.7888,4.38461
142.356,11.7888,4.38461
142.357,11.7888,4.38461
142.369,11.7888,4.38461
142.37,11.7888,4.38461
142.371,11.7888,4.38461
142.383,11.7888,4.38461
142.384,11.778,4.38252
142.385,11.778,4.38252
142.397,11.778,4.38252
142.398,11.778,4.38252
142.399,11.778,4.38252
142.411,11.778,4.38252
142.412,11.768,4.38065
142.413,11.768,4.38065
142.425,11.768,4.38065
142.426,11.768,4.38065
142.427,11.768,4.38065
142.439,11.768,4.38065
142.44,11.768,4.38065
142.441,11.768,4.38065
142.453,11.768,4.38065
142.454,11.7584,4.37881
142.455,11.7584,4.37881
142.467,11.7584,4.37881
142.468,11.7584,4.37881
142.469,11.7584,4.37881
142.481,11.7584,4.37881
142.482,11.7487,4.37702
142.483,11.7487,4.37702
142.495,11.7487,4.37702
142.496,11.7487,4.37702
142.497,11.7487,4.37702
142.509,11.7487,4.37702
142.51,11.7487,4.37702
142.511,11.7487,4.37702
142.523,11.7487,4.37702
142.524,11.7391,4.37539
142.525,11.7391,4.37539
142.537,11.7391,4.37539
142.538,11.7391,4.37539
142.539,11.7391,4.37539
142.551,11.7391,4.37539
142.552,11.7295,4.37392
142.553,11.7295,4.37392
142.565,11.7295,4.37392
142.566,11.7295,4.37392
142.567,11.7295,4.37392
142.579,11.7295,4.37392
142.58,11.7295,4.37392
142.581,11.7295,4.37392
142.593,11.72,4.37218
142.594,11.72,4.37218
142.595,11.72,4.37218
142.607,11.72,4.37218
142.608,11.72,4.37218
142.609,11.72,4.37218
142.621,11.72,4.37218
