Time (s),Agent ID,Distance
140.045,216,16.8245
140.045,222,4.60871
140.045,223,4.60696
140.045,224,5.49027
140.046,216,16.8245
140.046,222,4.60871
140.046,223,4.60696
140.046,224,5.49027
140.06,216,16.8245
140.06,222,4.60871
140.06,223,4.60696
140.06,224,5.49027
140.061,216,16.8245
140.061,222,4.60871
140.061,223,4.60696
140.061,224,5.49027
140.062,216,16.8245
140.062,222,4.60871
140.062,223,4.60696
140.062,224,5.49027
140.076,216,16.8245
140.076,222,4.60871
140.076,223,4.60696
140.076,224,5.49027
140.077,216,16.8189
140.077,222,4.59544
140.077,223,4.59395
140.077,224,5.47692
140.078,216,16.8189
140.078,222,4.59544
140.078,223,4.59395
140.078,224,5.47692
140.092,216,16.8189
140.092,222,4.59544
140.092,223,4.59395
140.092,224,5.47692
140.093,216,16.8189
140.093,222,4.59544
140.093,223,4.59395
140.093,224,5.47692
140.094,216,16.8189
140.094,222,4.59544
140.094,223,4.59395
140.094,224,5.47692
140.108,216,16.8189
140.108,222,4.59544
140.108,223,4.59395
140.108,224,5.47692
140.109,216,16.813
140.109,222,4.58211
140.109,223,4.58067
140.109,224,5.46331
140.11,216,16.813
140.11,222,4.58211
140.11,223,4.58067
140.11,224,5.46331
140.124,216,16.813
140.124,222,4.58211
140.124,223,4.58067
140.124,224,5.46331
140.125,216,16.813
140.125,222,4.58211
140.125,223,4.58067
140.125,224,5.46331
140.126,216,16.813
140.126,222,4.58211
140.126,223,4.58067
140.126,224,5.46331
140.14,216,16.813
140.14,222,4.58211
140.14,223,4.58067
140.14,224,5.46331
140.141,216,16.8068
140.141,222,4.5687
140.141,223,4.56721
140.141,224,5.44945
140.142,216,16.8068
140.142,222,4.5687
140.142,223,4.56721
140.142,224,5.44945
140.156,216,16.8068
140.156,222,4.5687
140.156,223,4.56721
140.156,224,5.44945
140.157,216,16.8068
140.157,222,4.5687
140.157,223,4.56721
140.157,224,5.44945
140.158,216,16.8068
140.158,222,4.5687
140.158,223,4.56721
140.158,224,5.44945
140.172,216,16.8068
140.172,222,4.5687
140.172,223,4.56721
140.172,224,5.44945
140.173,216,16.8001
140.173,222,4.55437
140.173,223,4.55322
140.173,224,5.43513
140.174,216,16.8001
140.174,222,4.55437
140.174,223,4.55322
140.174,224,5.43513
140.188,216,16.8001
140.188,222,4.55437
140.188,223,4.55322
140.188,224,5.43513
140.189,216,16.8001
140.189,222,4.55437
140.189,223,4.55322
140.189,224,5.43513
140.19,216,16.8001
140.19,222,4.55437
140.19,223,4.55322
140.19,224,5.43513
140.204,216,16.8001
140.204,222,4.55437
140.204,223,4.55322
140.204,224,5.43513
140.205,216,16.7932
140.205,222,4.53996
140.205,223,4.53893
140.205,224,5.42056
140.206,216,16.7932
140.206,222,4.53996
140.206,223,4.53893
140.206,224,5.42056
140.22,216,16.7932
140.22,222,4.53996
140.22,223,4.53893
140.22,224,5.42056
140.221,216,16.7932
140.221,222,4.53996
140.221,223,4.53893
140.221,224,5.42056
140.222,216,16.7932
140.222,222,4.53996
140.222,223,4.53893
140.222,224,5.42056
140.236,216,16.7932
140.236,222,4.53996
140.236,223,4.53893
140.236,224,5.42056
140.237,216,16.7859
140.237,222,4.52554
140.237,223,4.52436
140.237,224,5.40577
140.238,216,16.7859
140.238,222,4.52554
140.238,223,4.52436
140.238,224,5.40577
140.252,216,16.7859
140.252,222,4.52554
140.252,223,4.52436
140.252,224,5.40577
140.253,216,16.7859
140.253,222,4.52554
140.253,223,4.52436
140.253,224,5.40577
140.254,216,16.7859
140.254,222,4.52554
140.254,223,4.52436
140.254,224,5.40577
140.268,216,16.7859
140.268,222,4.52554
140.268,223,4.52436
140.268,224,5.40577
140.269,216,16.7859
140.269,222,4.52554
140.269,223,4.52436
140.269,224,5.40577
140.27,216,16.7783
140.27,222,4.51055
140.27,223,4.50953
140.27,224,5.3907
140.284,216,16.7783
140.284,222,4.51055
140.284,223,4.50953
140.284,224,5.3907
140.285,216,16.7783
140.285,222,4.51055
140.285,223,4.50953
140.285,224,5.3907
140.286,216,16.7783
140.286,222,4.51055
140.286,223,4.50953
140.286,224,5.3907
140.3,216,16.7783
140.3,222,4.51055
140.3,223,4.50953
140.3,224,5.3907
140.301,216,16.7783
140.301,222,4.51055
140.301,223,4.50953
140.301,224,5.3907
140.302,216,16.7783
140.302,222,4.51055
140.302,223,4.50953
140.302,224,5.3907
140.316,216,16.7783
140.316,222,4.51055
140.316,223,4.50953
140.316,224,5.3907
140.317,216,16.7704
140.317,222,4.49535
140.317,223,4.49448
140.317,224,5.37536
140.318,216,16.7704
140.318,222,4.49535
140.318,223,4.49448
140.318,224,5.37536
140.332,216,16.7704
140.332,222,4.49535
140.332,223,4.49448
140.332,224,5.37536
140.333,216,16.7704
140.333,222,4.49535
140.333,223,4.49448
140.333,224,5.37536
140.334,216,16.7704
140.334,222,4.49535
140.334,223,4.49448
140.334,224,5.37536
140.348,216,16.7704
140.348,222,4.49535
140.348,223,4.49448
140.348,224,5.37536
140.349,216,16.7623
140.349,222,4.48045
140.349,223,4.4793
140.349,224,5.3599
140.35,216,16.7623
140.35,222,4.48045
140.35,223,4.4793
140.35,224,5.3599
140.364,216,16.7623
140.364,222,4.48045
140.364,223,4.4793
140.364,224,5.3599
140.365,216,16.7623
140.365,222,4.48045
140.365,223,4.4793
140.365,224,5.3599
140.366,216,16.7623
140.366,222,4.48045
140.366,223,4.4793
140.366,224,5.3599
140.38,216,16.7623
140.38,222,4.48045
140.38,223,4.4793
140.38,224,5.3599
140.381,216,16.754
140.381,222,4.46526
140.381,223,4.46379
140.381,224,5.34421
140.382,216,16.754
140.382,222,4.46526
140.382,223,4.46379
140.382,224,5.34421
140.396,216,16.754
140.396,222,4.46526
140.396,223,4.46379
140.396,224,5.34421
140.397,216,16.754
140.397,222,4.46526
140.397,223,4.46379
140.397,224,5.34421
140.398,216,16.754
140.398,222,4.46526
140.398,223,4.46379
140.398,224,5.34421
140.412,216,16.754
140.412,222,4.46526
140.412,223,4.46379
140.412,224,5.34421
140.413,216,16.7452
140.413,222,4.44925
140.413,223,4.44773
