Time (s),Agent ID,Distance
140.042,145,6.34952
140.042,146,6.2623
140.042,147,9.04864
140.042,148,15.3159
140.042,149,1.64294
140.043,145,6.34952
140.043,146,6.2623
140.043,147,9.04864
140.043,148,15.3159
140.043,149,1.64294
140.058,145,6.34952
140.058,146,6.2623
140.058,147,9.04864
140.058,148,15.3159
140.058,149,1.64294
140.059,145,6.34952
140.059,146,6.2623
140.059,147,9.04864
140.059,148,15.3159
140.059,149,1.64294
140.06,145,6.34952
140.06,146,6.2623
140.06,147,9.04864
140.06,148,15.3159
140.06,149,1.64294
140.075,145,6.34952
140.075,146,6.2623
140.075,147,9.04864
140.075,148,15.3159
140.075,149,1.64294
140.076,145,6.33816
140.076,146,6.25052
140.076,147,9.0366
140.076,148,15.3048
140.076,149,1.64958
140.077,145,6.33816
140.077,146,6.25052
140.077,147,9.0366
140.077,148,15.3048
140.077,149,1.64958
140.092,145,6.33816
140.092,146,6.25052
140.092,147,9.0366
140.092,148,15.3048
140.092,149,1.64958
140.093,145,6.33816
140.093,146,6.25052
140.093,147,9.0366
140.093,148,15.3048
140.093,149,1.64958
140.094,145,6.33816
140.094,146,6.25052
140.094,147,9.0366
140.094,148,15.3048
140.094,149,1.64958
140.109,145,6.33816
140.109,146,6.25052
140.109,147,9.0366
140.109,148,15.3048
140.109,149,1.64958
140.11,145,6.3268
140.11,146,6.23875
140.11,147,9.0245
140.11,148,15.2937
140.11,149,1.6562
140.111,145,6.3268
140.111,146,6.23875
140.111,147,9.0245
140.111,148,15.2937
140.111,149,1.6562
140.126,145,6.3268
140.126,146,6.23875
140.126,147,9.0245
140.126,148,15.2937
140.126,149,1.6562
140.127,145,6.3268
140.127,146,6.23875
140.127,147,9.0245
140.127,148,15.2937
140.127,149,1.6562
140.128,145,6.3268
140.128,146,6.23875
140.128,147,9.0245
140.128,148,15.2937
140.128,149,1.6562
140.143,145,6.3268
140.143,146,6.23875
140.143,147,9.0245
140.143,148,15.2937
140.143,149,1.6562
140.144,145,6.31542
140.144,146,6.22681
140.144,147,9.01236
140.144,148,15.2825
140.144,149,1.66268
140.145,145,6.31542
140.145,146,6.22681
140.145,147,9.01236
140.145,148,15.2825
140.145,149,1.66268
140.16,145,6.31542
140.16,146,6.22681
140.16,147,9.01236
140.16,148,15.2825
140.16,149,1.66268
140.161,145,6.31542
140.161,146,6.22681
140.161,147,9.01236
140.161,148,15.2825
140.161,149,1.66268
140.162,145,6.31542
140.162,146,6.22681
140.162,147,9.01236
140.162,148,15.2825
140.162,149,1.66268
140.177,145,6.31542
140.177,146,6.22681
140.177,147,9.01236
140.177,148,15.2825
140.177,149,1.66268
140.178,145,6.30353
140.178,146,6.21464
140.178,147,9.00003
140.178,148,15.271
140.178,149,1.66908
140.179,145,6.30353
140.179,146,6.21464
140.179,147,9.00003
140.179,148,15.271
140.179,149,1.66908
140.194,145,6.30353
140.194,146,6.21464
140.194,147,9.00003
140.194,148,15.271
140.194,149,1.66908
140.195,145,6.30353
140.195,146,6.21464
140.195,147,9.00003
140.195,148,15.271
140.195,149,1.66908
140.196,145,6.30353
140.196,146,6.21464
140.196,147,9.00003
140.196,148,15.271
140.196,149,1.66908
140.211,145,6.30353
140.211,146,6.21464
140.211,147,9.00003
140.211,148,15.271
140.211,149,1.66908
140.212,145,6.2916
140.212,146,6.20248
140.212,147,8.98767
140.212,148,15.2594
140.212,149,1.67538
140.213,145,6.2916
140.213,146,6.20248
140.213,147,8.98767
140.213,148,15.2594
140.213,149,1.67538
140.228,145,6.2916
140.228,146,6.20248
140.228,147,8.98767
140.228,148,15.2594
140.228,149,1.67538
140.229,145,6.2916
140.229,146,6.20248
140.229,147,8.98767
140.229,148,15.2594
140.229,149,1.67538
140.23,145,6.2916
140.23,146,6.20248
140.23,147,8.98767
140.23,148,15.2594
140.23,149,1.67538
140.245,145,6.2916
140.245,146,6.20248
140.245,147,8.98767
140.245,148,15.2594
140.245,149,1.67538
140.246,145,6.27969
140.246,146,6.19023
140.246,147,8.97528
140.246,148,15.2477
140.246,149,1.68162
140.247,145,6.27969
140.247,146,6.19023
140.247,147,8.97528
140.247,148,15.2477
140.247,149,1.68162
140.262,145,6.27969
140.262,146,6.19023
140.262,147,8.97528
