Time (s),x,y
140.039,9.78367,6.59081
140.04,9.78367,6.59081
140.056,9.78367,6.59081
140.057,9.78367,6.59081
140.073,9.78367,6.59081
140.074,9.77786,6.59346
140.075,9.77786,6.59346
140.091,9.77786,6.59346
140.092,9.77786,6.59346
140.093,9.77786,6.59346
140.109,9.77786,6.59346
140.11,9.77172,6.59616
140.111,9.77172,6.59616
140.127,9.77172,6.59616
140.128,9.77172,6.59616
140.144,9.77172,6.59616
140.145,9.76524,6.5986
140.146,9.76524,6.5986
140.162,9.76524,6.5986
140.163,9.76524,6.5986
140.164,9.76524,6.5986
140.18,9.76524,6.5986
140.181,9.75842,6.60059
140.182,9.75842,6.60059
140.198,9.75842,6.60059
140.199,9.75842,6.60059
140.2,9.75842,6.60059
140.216,9.75842,6.60059
140.217,9.7513,6.60266
140.218,9.7513,6.60266
140.234,9.7513,6.60266
140.235,9.7513,6.60266
140.236,9.74388,6.6047
140.252,9.74388,6.6047
140.253,9.74388,6.6047
140.269,9.74388,6.6047
140.27,9.73615,6.60644
140.271,9.73615,6.60644
140.287,9.73615,6.60644
140.288,9.73615,6.60644
140.304,9.73615,6.60644
140.305,9.72816,6.60847
140.306,9.72816,6.60847
140.322,9.72816,6.60847
140.323,9.72816,6.60847
140.339,9.72816,6.60847
140.34,9.71989,6.61059
140.341,9.71989,6.61059
140.357,9.71989,6.61059
140.358,9.71989,6.61059
140.374,9.71989,6.61059
140.375,9.71134,6.61219
140.376,9.71134,6.61219
140.392,9.71134,6.61219
140.393,9.71134,6.61219
140.394,9.71134,6.61219
140.41,9.71134,6.61219
140.411,9.70251,6.61355
140.412,9.70251,6.61355
140.428,9.70251,6.61355
140.429,9.70251,6.61355
140.445,9.70251,6.61355
140.446,9.69345,6.61536
140.447,9.69345,6.61536
140.463,9.69345,6.61536
140.464,9.69345,6.61536
140.48,9.69345,6.61536
140.481,9.68416,6.61729
140.482,9.68416,6.61729
140.498,9.68416,6.61729
140.499,9.68416,6.61729
140.515,9.68416,6.61729
140.516,9.6746,6.6185
140.517,9.6746,6.6185
140.533,9.6746,6.6185
140.534,9.6746,6.6185
140.55,9.6746,6.6185
140.551,9.66483,6.61999
140.552,9.66483,6.61999
140.568,9.66483,6.61999
140.569,9.66483,6.61999
140.57,9.66483,6.61999
140.586,9.66483,6.61999
140.587,9.65486,6.62176
140.603,9.65486,6.62176
140.604,9.65486,6.62176
140.605,9.65486,6.62176
140.621,9.65486,6.62176
140.622,9.64466,6.62314
140.638,9.64466,6.62314
140.639,9.64466,6.62314
140.64,9.64466,6.62314
140.656,9.64466,6.62314
140.657,9.63423,6.62406
140.673,9.63423,6.62406
140.674,9.63423,6.62406
140.675,9.63423,6.62406
140.691,9.63423,6.62406
140.692,9.62364,6.6254
140.693,9.62364,6.6254
140.709,9.62364,6.6254
140.71,9.62364,6.6254
140.726,9.62364,6.6254
140.727,9.61287,6.62701
140.728,9.61287,6.62701
140.744,9.61287,6.62701
140.745,9.61287,6.62701
140.761,9.6019,6.62808
140.762,9.6019,6.62808
140.763,9.6019,6.62808
140.779,9.6019,6.62808
140.78,9.59076,6.629
140.796,9.59076,6.629
140.797,9.59076,6.629
140.798,9.59076,6.629
140.814,9.59076,6.629
140.815,9.57947,6.63016
140.816,9.57947,6.63016
140.832,9.57947,6.63016
140.833,9.57947,6.63016
140.834,9.57947,6.63016
140.85,9.57947,6.63016
140.851,9.56802,6.63121
140.867,9.56802,6.63121
140.868,9.56802,6.63121
140.869,9.56802,6.63121
140.885,9.56802,6.63121
140.886,9.55641,6.6319
140.902,9.55641,6.6319
140.903,9.55641,6.6319
140.904,9.55641,6.6319
140.92,9.55641,6.6319
140.921,9.54469,6.63292
140.937,9.54469,6.63292
140.938,9.54469,6.63292
140.939,9.54469,6.63292
140.955,9.54469,6.63292
140.956,9.53282,6.63361
140.957,9.53282,6.63361
140.973,9.53282,6.63361
140.974,9.53282,6.63361
140.975,9.53282,6.63361
140.991,9.53282,6.63361
140.992,9.52084,6.63425
141.008,9.52084,6.63425
141.009,9.52084,6.63425
141.025,9.52084,6.63425
141.026,9.50874,6.63482
141.027,9.50874,6.63482
141.043,9.50874,6.63482
141.044,9.50874,6.63482
141.06,9.50874,6.63482
141.061,9.49657,6.63613
141.062,9.49657,6.63613
141.078,9.49657,6.63613
141.079,9.49657,6.63613
141.095,9.49657,6.63613
141.096,9.48428,6.63688
141.097,9.48428,6.63688
141.113,9.48428,6.63688
141.114,9.48428,6.63688
141.115,9.48428,6.63688
141.131,9.48428,6.63688
141.132,9.4719,6.63741
141.133,9.4719,6.63741
141.149,9.4719,6.63741
141.15,9.4719,6.63741
141.166,9.4719,6.63741
141.167,9.45946,6.63827
141.183,9.45946,6.63827
141.184,9.45946,6.63827
141.185,9.45946,6.63827
141.201,9.45946,6.63827
141.202,9.44693,6.6388
141.218,9.44693,6.6388
141.219,9.44693,6.6388
141.22,9.44693,6.6388
141.236,9.44693,6.6388
141.237,9.43433,6.63903
141.253,9.43433,6.63903
141.254,9.43433,6.63903
141.255,9.43433,6.63903
141.271,9.42171,6.63986
141.272,9.42171,6.63986
141.273,9.42171,6.63986
141.289,9.42171,6.63986
141.29,9.40899,6.63967
141.291,9.40899,6.63967
141.307,9.40899,6.63967
141.308,9.40899,6.63967
141.324,9.40899,6.63967
141.325,9.39626,6.63976
141.326,9.39626,6.63976
141.342,9.39626,6.63976
141.343,9.39626,6.63976
141.344,9.39626,6.63976
141.36,9.39626,6.63976
141.361,9.3835,6.6401
141.362,9.3835,6.6401
141.378,9.3835,6.6401
141.379,9.3835,6.6401
141.38,9.3835,6.6401
141.396,9.3835,6.6401
141.397,9.37071,6.63988
141.398,9.37071,6.63988
141.414,9.37071,6.63988
141.415,9.37071,6.63988
141.416,9.37071,6.63988
141.432,9.37071,6.63988
141.433,9.3579,6.63953
141.449,9.3579,6.63953
141.45,9.3579,6.63953
141.451,9.3579,6.63953
141.467,9.3579,6.63953
141.468,9.3451,6.63966
141.484,9.3451,6.63966
141.485,9.3451,6.63966
141.486,9.3451,6.63966
141.502,9.3451,6.63966
141.503,9.3323,6.63936
141.519,9.3323,6.63936
141.52,9.3323,6.63936
141.521,9.3323,6.63936
141.537,9.3323,6.63936
141.538,9.3195,6.63898
141.539,9.3195,6.63898
141.555,9.3195,6.63898
141.556,9.3195,6.63898
141.557,9.3195,6.63898
141.573,9.3195,6.63898
141.574,9.30671,6.63815
141.59,9.30671,6.63815
141.591,9.30671,6.63815
141.592,9.30671,6.63815
141.608,9.30671,6.63815
141.609,9.29395,6.63736
141.61,9.29395,6.63736
141.626,9.29395,6.63736
141.627,9.29395,6.63736
141.643,9.29395,6.63736
141.644,9.28125,6.63702
141.645,9.28125,6.63702
141.661,9.28125,6.63702
141.662,9.28125,6.63702
141.678,9.28125,6.63702
141.679,9.26858,6.63619
141.68,9.26858,6.63619
141.696,9.26858,6.63619
141.697,9.26858,6.63619
141.713,9.25515,6.6134
141.714,9.25515,6.6134
141.715,9.25515,6.6134
141.731,9.25515,6.6134
141.732,9.24261,6.61267
141.733,9.24261,6.61267
141.749,9.24261,6.61267
141.75,9.24261,6.61267
141.751,9.24261,6.61267
141.767,9.24261,6.61267
141.768,9.23014,6.61191
141.784,9.23014,6.61191
141.785,9.23014,6.61191
141.786,9.23014,6.61191
141.802,9.23014,6.61191
141.803,9.21774,6.61069
141.804,9.21774,6.61069
141.82,9.21774,6.61069
141.821,9.21774,6.61069
141.822,9.21774,6.61069
141.838,9.21774,6.61069
141.839,9.20541,6.60937
141.84,9.20541,6.60937
141.856,9.20541,6.60937
141.857,9.20541,6.60937
141.858,9.20541,6.60937
141.874,9.20541,6.60937
141.875,9.1932,6.60823
141.876,9.1932,6.60823
141.892,9.1932,6.60823
141.893,9.1932,6.60823
141.909,9.1932,6.60823
141.91,9.18109,6.60737
141.911,9.18109,6.60737
141.927,9.18109,6.60737
141.928,9.18109,6.60737
141.944,9.18109,6.60737
141.945,9.1691,6.60667
141.946,9.1691,6.60667
141.962,9.1691,6.60667
141.963,9.1691,6.60667
141.979,9.1691,6.60667
141.98,9.15723,6.60602
141.981,9.15723,6.60602
141.997,9.15723,6.60602
141.998,9.15723,6.60602
141.999,9.15723,6.60602
142.015,9.15723,6.60602
142.016,9.1455,6.60554
142.017,9.1455,6.60554
142.033,9.1455,6.60554
142.034,9.1455,6.60554
142.05,9.1455,6.60554
142.051,9.13391,6.60539
142.067,9.13391,6.60539
142.068,9.13391,6.60539
142.069,9.13391,6.60539
142.085,9.13391,6.60539
142.086,9.12246,6.60517
142.102,9.12246,6.60517
142.103,9.12246,6.60517
142.104,9.12246,6.60517
142.12,9.12246,6.60517
142.121,9.11115,6.60439
142.137,9.11115,6.60439
142.138,9.11115,6.60439
142.139,9.11115,6.60439
142.155,9.1,6.60378
142.156,9.1,6.60378
142.157,9.1,6.60378
142.173,9.1,6.60378
142.174,9.08896,6.60349
142.175,9.08896,6.60349
142.191,9.08896,6.60349
142.192,9.08896,6.60349
142.208,9.08896,6.60349
142.209,9.07795,6.60333
142.21,9.07795,6.60333
142.226,9.07795,6.60333
142.227,9.07795,6.60333
142.228,9.07795,6.60333
142.244,9.07795,6.60333
142.245,9.06697,6.60307
142.246,9.06697,6.60307
142.262,9.06697,6.60307
142.263,9.06697,6.60307
142.264,9.06697,6.60307
142.28,9.06697,6.60307
142.281,9.05602,6.60263
142.282,9.05602,6.60263
142.298,9.05602,6.60263
142.299,9.05602,6.60263
142.3,9.05602,6.60263
142.316,9.05602,6.60263
142.317,9.04511,6.60235
142.333,9.04511,6.60235
142.334,9.04511,6.60235
142.335,9.04511,6.60235
142.351,9.04511,6.60235
142.352,9.03423,6.60285
142.368,9.03423,6.60285
142.369,9.03423,6.60285
142.37,9.03423,6.60285
142.386,9.03423,6.60285
142.387,9.02338,6.60288
142.403,9.02338,6.60288
142.404,9.02338,6.60288
142.405,9.02338,6.60288
142.421,9.02338,6.60288
142.422,9.01256,6.60234
142.423,9.01256,6.60234
142.439,9.01256,6.60234
142.44,9.01256,6.60234
142.441,9.01256,6.60234
142.457,9.01256,6.60234
142.458,9.00176,6.60214
142.474,9.00176,6.60214
142.475,9.00176,6.60214
142.491,9.00176,6.60214
142.492,8.99097,6.60263
142.493,8.99097,6.60263
142.509,8.99097,6.60263
142.51,8.99097,6.60263
142.526,8.99097,6.60263
142.527,8.98021,6.60272
142.528,8.98021,6.60272
142.544,8.98021,6.60272
142.545,8.98021,6.60272
142.561,8.98021,6.60272
142.562,8.96946,6.60279
142.563,8.96946,6.60279
142.579,8.96946,6.60279
142.58,8.96946,6.60279
142.581,8.96946,6.60279
142.597,8.9587,6.60324
142.598,8.9587,6.60324
142.599,8.9587,6.60324
142.615,8.9587,6.60324
142.616,8.94797,6.6033
142.632,8.94797,6.6033
142.633,8.94797,6.6033
142.634,8.94797,6.6033
142.65,8.94797,6.6033
142.651,8.93723,6.60363
142.652,8.93723,6.60363
142.668,8.93723,6.60363
142.669,8.93723,6.60363
142.67,8.93723,6.60363
142.686,8.93723,6.60363
142.687,8.92653,6.60358
142.688,8.92653,6.60358
142.704,8.92653,6.60358
142.705,8.92653,6.60358
142.706,8.92653,6.60358
142.722,8.92653,6.60358
142.723,8.91585,6.60352
142.724,8.91585,6.60352
142.74,8.91585,6.60352
142.741,8.91585,6.60352
142.757,8.91585,6.60352
142.758,8.90503,6.60429
142.759,8.90503,6.60429
142.775,8.90503,6.60429
142.776,8.90503,6.60429
142.792,8.90503,6.60429
142.793,8.89425,6.60475
142.794,8.89425,6.60475
142.81,8.89425,6.60475
142.811,8.89425,6.60475
142.827,8.89425,6.60475
142.828,8.88354,6.60479
142.829,8.88354,6.60479
142.845,8.88354,6.60479
142.846,8.88354,6.60479
142.847,8.88354,6.60479
142.863,8.88354,6.60479
142.864,8.87283,6.60484
