Time (s),x,y
140.045,13.468,6.33523
140.046,13.468,6.33523
140.06,13.468,6.33523
140.061,13.468,6.33523
140.062,13.468,6.33523
140.076,13.468,6.33523
140.077,13.4628,6.33918
140.078,13.4628,6.33918
140.092,13.4628,6.33918
140.093,13.4628,6.33918
140.094,13.4628,6.33918
140.108,13.4628,6.33918
140.109,13.4573,6.34333
140.11,13.4573,6.34333
140.124,13.4573,6.34333
140.125,13.4573,6.34333
140.126,13.4573,6.34333
140.14,13.4573,6.34333
140.141,13.4515,6.34764
140.142,13.4515,6.34764
140.156,13.4515,6.34764
140.157,13.4515,6.34764
140.158,13.4515,6.34764
140.172,13.4515,6.34764
140.173,13.4451,6.35141
140.174,13.4451,6.35141
140.188,13.4451,6.35141
140.189,13.4451,6.35141
140.19,13.4451,6.35141
140.204,13.4451,6.35141
140.205,13.4385,6.35531
140.206,13.4385,6.35531
140.22,13.4385,6.35531
140.221,13.4385,6.35531
140.222,13.4385,6.35531
140.236,13.4385,6.35531
140.237,13.4316,6.35936
140.238,13.4316,6.35936
140.252,13.4316,6.35936
140.253,13.4316,6.35936
140.254,13.4316,6.35936
140.268,13.4316,6.35936
140.269,13.4316,6.35936
140.27,13.4244,6.36336
140.284,13.4244,6.36336
140.285,13.4244,6.36336
140.286,13.4244,6.36336
140.3,13.4244,6.36336
140.301,13.4244,6.36336
140.302,13.4244,6.36336
140.316,13.4244,6.36336
140.317,13.4169,6.36738
140.318,13.4169,6.36738
140.332,13.4169,6.36738
140.333,13.4169,6.36738
140.334,13.4169,6.36738
140.348,13.4169,6.36738
140.349,13.4092,6.3718
140.35,13.4092,6.3718
140.364,13.4092,6.3718
140.365,13.4092,6.3718
140.366,13.4092,6.3718
140.38,13.4092,6.3718
140.381,13.4013,6.37625
140.382,13.4013,6.37625
140.396,13.4013,6.37625
140.397,13.4013,6.37625
140.398,13.4013,6.37625
140.412,13.4013,6.37625
140.413,13.3929,6.38014
140.414,13.3929,6.38014
140.428,13.3929,6.38014
140.429,13.3929,6.38014
140.43,13.3929,6.38014
140.444,13.3929,6.38014
140.445,13.3842,6.38419
140.446,13.3842,6.38419
140.46,13.3842,6.38419
140.461,13.3842,6.38419
140.462,13.3842,6.38419
140.476,13.3842,6.38419
140.477,13.3755,6.38876
140.478,13.3755,6.38876
140.492,13.3755,6.38876
140.493,13.3755,6.38876
140.494,13.3755,6.38876
140.508,13.3755,6.38876
140.509,13.3664,6.39311
140.51,13.3664,6.39311
140.524,13.3664,6.39311
140.525,13.3664,6.39311
140.526,13.3664,6.39311
140.54,13.3664,6.39311
140.541,13.3664,6.39311
140.542,13.357,6.39722
140.556,13.357,6.39722
140.557,13.357,6.39722
140.558,13.357,6.39722
140.572,13.357,6.39722
140.573,13.357,6.39722
140.574,13.357,6.39722
140.588,13.357,6.39722
140.589,13.3476,6.40179
140.59,13.3476,6.40179
140.604,13.3476,6.40179
140.605,13.3476,6.40179
140.606,13.3476,6.40179
140.62,13.3476,6.40179
140.621,13.3378,6.40628
140.622,13.3378,6.40628
140.636,13.3378,6.40628
140.637,13.3378,6.40628
140.638,13.3378,6.40628
140.652,13.3378,6.40628
140.653,13.3277,6.41028
140.654,13.3277,6.41028
140.668,13.3277,6.41028
140.669,13.3277,6.41028
140.67,13.3277,6.41028
140.684,13.3277,6.41028
140.685,13.3174,6.41443
140.686,13.3174,6.41443
140.7,13.3174,6.41443
140.701,13.3174,6.41443
140.702,13.3174,6.41443
140.716,13.3174,6.41443
140.717,13.3071,6.41912
140.718,13.3071,6.41912
140.732,13.3071,6.41912
140.733,13.3071,6.41912
140.734,13.3071,6.41912
140.748,13.3071,6.41912
140.749,13.2965,6.42343
140.75,13.2965,6.42343
140.764,13.2965,6.42343
140.765,13.2965,6.42343
140.766,13.2965,6.42343
140.78,13.2965,6.42343
140.781,13.2856,6.42751
140.782,13.2856,6.42751
140.796,13.2856,6.42751
140.797,13.2856,6.42751
140.798,13.2856,6.42751
140.812,13.2856,6.42751
140.813,13.2856,6.42751
140.814,13.2747,6.43187
140.828,13.2747,6.43187
140.829,13.2747,6.43187
140.83,13.2747,6.43187
140.844,13.2747,6.43187
140.845,13.2747,6.43187
140.846,13.2747,6.43187
140.86,13.2747,6.43187
140.861,13.2635,6.4362
140.862,13.2635,6.4362
140.876,13.2635,6.4362
140.877,13.2635,6.4362
140.878,13.2635,6.4362
140.892,13.2635,6.4362
140.893,13.2521,6.44021
140.894,13.2521,6.44021
140.908,13.2521,6.44021
140.909,13.2521,6.44021
140.91,13.2521,6.44021
140.924,13.2521,6.44021
140.925,13.2406,6.44458
140.926,13.2406,6.44458
140.94,13.2406,6.44458
140.941,13.2406,6.44458
140.942,13.2406,6.44458
140.956,13.2406,6.44458
140.957,13.229,6.44866
140.958,13.229,6.44866
140.972,13.229,6.44866
140.973,13.229,6.44866
140.974,13.229,6.44866
140.988,13.229,6.44866
140.989,13.2171,6.45273
140.99,13.2171,6.45273
141.004,13.2171,6.45273
141.005,13.2171,6.45273
141.006,13.2171,6.45273
141.02,13.2171,6.45273
141.021,13.2052,6.45678
141.022,13.2052,6.45678
141.036,13.2052,6.45678
141.037,13.2052,6.45678
141.038,13.2052,6.45678
141.052,13.2052,6.45678
141.053,13.1933,6.46159
141.054,13.1933,6.46159
141.068,13.1933,6.46159
141.069,13.1933,6.46159
141.07,13.1933,6.46159
141.084,13.1933,6.46159
141.085,13.1933,6.46159
141.086,13.1812,6.46583
141.1,13.1812,6.46583
141.101,13.1812,6.46583
141.102,13.1812,6.46583
141.116,13.1812,6.46583
141.117,13.1812,6.46583
141.118,13.1812,6.46583
141.132,13.1812,6.46583
141.133,13.1689,6.46997
141.134,13.1689,6.46997
141.148,13.1689,6.46997
141.149,13.1689,6.46997
141.15,13.1689,6.46997
141.164,13.1689,6.46997
141.165,13.1567,6.47442
141.166,13.1567,6.47442
141.18,13.1567,6.47442
141.181,13.1567,6.47442
141.182,13.1567,6.47442
141.196,13.1567,6.47442
141.197,13.1442,6.47851
141.198,13.1442,6.47851
141.212,13.1442,6.47851
141.213,13.1442,6.47851
141.214,13.1442,6.47851
141.228,13.1442,6.47851
141.229,13.1316,6.48248
141.23,13.1316,6.48248
141.244,13.1316,6.48248
141.245,13.1316,6.48248
141.246,13.1316,6.48248
141.26,13.1316,6.48248
141.261,13.1191,6.48694
141.262,13.1191,6.48694
141.276,13.1191,6.48694
141.277,13.1191,6.48694
141.278,13.1191,6.48694
141.292,13.1191,6.48694
141.293,13.1062,6.49037
141.294,13.1062,6.49037
141.308,13.1062,6.49037
141.309,13.1062,6.49037
141.31,13.1062,6.49037
141.324,13.1062,6.49037
141.325,13.0934,6.49426
141.326,13.0934,6.49426
141.34,13.0934,6.49426
141.341,13.0934,6.49426
141.342,13.0934,6.49426
141.356,13.0934,6.49426
141.357,13.0934,6.49426
141.358,13.0806,6.49828
141.372,13.0806,6.49828
141.373,13.0806,6.49828
141.374,13.0806,6.49828
141.388,13.0806,6.49828
141.389,13.0806,6.49828
141.39,13.0806,6.49828
141.404,13.0806,6.49828
141.405,13.0676,6.50172
141.406,13.0676,6.50172
141.42,13.0676,6.50172
141.421,13.0676,6.50172
141.422,13.0676,6.50172
141.436,13.0676,6.50172
141.437,13.0546,6.50522
141.438,13.0546,6.50522
141.452,13.0546,6.50522
141.453,13.0546,6.50522
141.454,13.0546,6.50522
141.468,13.0546,6.50522
141.469,13.0417,6.50913
141.47,13.0417,6.50913
141.484,13.0417,6.50913
141.485,13.0417,6.50913
141.486,13.0417,6.50913
141.5,13.0417,6.50913
141.501,13.0286,6.51251
141.502,13.0286,6.51251
141.516,13.0286,6.51251
141.517,13.0286,6.51251
141.518,13.0286,6.51251
141.532,13.0286,6.51251
141.533,13.0155,6.51582
141.534,13.0155,6.51582
141.548,13.0155,6.51582
141.549,13.0155,6.51582
141.55,13.0155,6.51582
141.564,13.0155,6.51582
141.565,13.0023,6.51866
141.566,13.0023,6.51866
141.58,13.0023,6.51866
141.581,13.0023,6.51866
141.582,13.0023,6.51866
141.596,13.0023,6.51866
141.597,12.9891,6.52182
141.598,12.9891,6.52182
141.612,12.9891,6.52182
141.613,12.9891,6.52182
141.614,12.9891,6.52182
141.628,12.9891,6.52182
141.629,12.9891,6.52182
141.63,12.9761,6.52509
141.644,12.9761,6.52509
141.645,12.9761,6.52509
141.646,12.9761,6.52509
141.66,12.9761,6.52509
141.661,12.9761,6.52509
141.662,12.9761,6.52509
141.676,12.9761,6.52509
141.677,12.9629,6.52796
141.678,12.9629,6.52796
141.692,12.9629,6.52796
141.693,12.9629,6.52796
141.694,12.9629,6.52796
141.708,12.9629,6.52796
141.709,12.9431,6.50993
141.71,12.9431,6.50993
141.724,12.9431,6.50993
141.725,12.9431,6.50993
141.726,12.9431,6.50993
141.74,12.9431,6.50993
141.741,12.9301,6.51307
141.742,12.9301,6.51307
141.756,12.9301,6.51307
141.757,12.9301,6.51307
141.758,12.9301,6.51307
141.772,12.9301,6.51307
141.773,12.9171,6.51567
141.774,12.9171,6.51567
141.788,12.9171,6.51567
141.789,12.9171,6.51567
141.79,12.9171,6.51567
141.804,12.9171,6.51567
141.805,12.9039,6.51797
141.806,12.9039,6.51797
141.82,12.9039,6.51797
141.821,12.9039,6.51797
141.822,12.9039,6.51797
141.836,12.9039,6.51797
141.837,12.8909,6.52042
141.838,12.8909,6.52042
141.852,12.8909,6.52042
141.853,12.8909,6.52042
141.854,12.8909,6.52042
