Agent Id,Init Time (s),End Time (s),Time In Personal Area
252,140.032,141.159,1.127
254,140.032,145.408,5.376
259,162.136,168.288,6.152
263,176.344,180.968,4.624
268,176.72,179.647,2.927
276,193.655,195.52,1.865
285,218.88,220.272,1.392
