Time (s),Agent ID,Distance
140.041,70,5.505
140.041,71,6.23843
140.041,72,5.03397
140.041,73,5.41568
140.041,74,7.72089
140.041,75,7.52094
140.041,76,8.15516
140.041,78,14.9135
140.042,70,5.505
140.042,71,6.23843
140.042,72,5.03397
140.042,73,5.41568
140.042,74,7.72089
140.042,75,7.52094
140.042,76,8.15516
140.042,78,14.9135
140.054,70,5.505
140.054,71,6.23843
140.054,72,5.03397
140.054,73,5.41568
140.054,74,7.72089
140.054,75,7.52094
140.054,76,8.15516
140.054,78,14.9135
140.055,70,5.505
140.055,71,6.23843
140.055,72,5.03397
140.055,73,5.41568
140.055,74,7.72089
140.055,75,7.52094
140.055,76,8.15516
140.055,78,14.9135
140.056,70,5.505
140.056,71,6.23843
140.056,72,5.03397
140.056,73,5.41568
140.056,74,7.72089
140.056,75,7.52094
140.056,76,8.15516
140.056,78,14.9135
140.068,70,5.505
140.068,71,6.23843
140.068,72,5.03397
140.068,73,5.41568
140.068,74,7.72089
140.068,75,7.52094
140.068,76,8.15516
140.068,78,14.9135
140.069,70,5.46854
140.069,71,6.20566
140.069,72,5.00057
140.069,73,5.3824
140.069,74,7.73273
140.069,75,7.52959
140.069,76,8.16155
140.069,78,14.8834
140.07,70,5.46854
140.07,71,6.20566
140.07,72,5.00057
140.07,73,5.3824
140.07,74,7.73273
140.07,75,7.52959
140.07,76,8.16155
140.07,78,14.8834
140.082,70,5.46854
140.082,71,6.20566
140.082,72,5.00057
140.082,73,5.3824
140.082,74,7.73273
140.082,75,7.52959
140.082,76,8.16155
140.082,78,14.8834
140.083,70,5.46854
140.083,71,6.20566
140.083,72,5.00057
140.083,73,5.3824
140.083,74,7.73273
140.083,75,7.52959
140.083,76,8.16155
140.083,78,14.8834
140.084,70,5.46854
140.084,71,6.20566
140.084,72,5.00057
140.084,73,5.3824
140.084,74,7.73273
140.084,75,7.52959
140.084,76,8.16155
140.084,78,14.8834
140.096,70,5.46854
140.096,71,6.20566
140.096,72,5.00057
140.096,73,5.3824
140.096,74,7.73273
140.096,75,7.52959
140.096,76,8.16155
140.096,78,14.8834
140.097,70,5.46854
140.097,71,6.20566
140.097,72,5.00057
140.097,73,5.3824
140.097,74,7.73273
140.097,75,7.52959
140.097,76,8.16155
140.097,78,14.8834
140.098,70,5.46854
140.098,71,6.20566
140.098,72,5.00057
140.098,73,5.3824
140.098,74,7.73273
140.098,75,7.52959
140.098,76,8.16155
140.098,78,14.8834
140.11,70,5.46854
140.11,71,6.20566
140.11,72,5.00057
140.11,73,5.3824
140.11,74,7.73273
140.11,75,7.52959
140.11,76,8.16155
140.11,78,14.8834
140.111,70,5.42992
140.111,71,6.17109
140.111,72,4.96577
140.111,73,5.34761
140.111,74,7.74239
140.111,75,7.53618
140.111,76,8.16589
140.111,78,14.8493
140.112,70,5.42992
140.112,71,6.17109
140.112,72,4.96577
140.112,73,5.34761
140.112,74,7.74239
140.112,75,7.53618
140.112,76,8.16589
140.112,78,14.8493
140.124,70,5.42992
140.124,71,6.17109
140.124,72,4.96577
140.124,73,5.34761
140.124,74,7.74239
140.124,75,7.53618
140.124,76,8.16589
140.124,78,14.8493
140.125,70,5.42992
140.125,71,6.17109
140.125,72,4.96577
140.125,73,5.34761
140.125,74,7.74239
140.125,75,7.53618
140.125,76,8.16589
140.125,78,14.8493
140.126,70,5.42992
140.126,71,6.17109
140.126,72,4.96577
140.126,73,5.34761
140.126,74,7.74239
140.126,75,7.53618
140.126,76,8.16589
140.126,78,14.8493
140.138,70,5.42992
140.138,71,6.17109
140.138,72,4.96577
140.138,73,5.34761
140.138,74,7.74239
140.138,75,7.53618
140.138,76,8.16589
140.138,78,14.8493
140.139,70,5.38981
140.139,71,6.13506
140.139,72,4.92954
140.139,73,5.31083
140.139,74,7.7503
140.139,75,7.54093
140.139,76,8.16833
140.139,78,14.8118
140.14,70,5.38981
140.14,71,6.13506
140.14,72,4.92954
140.14,73,5.31083
140.14,74,7.7503
140.14,75,7.54093
140.14,76,8.16833
140.14,78,14.8118
140.152,70,5.38981
140.152,71,6.13506
140.152,72,4.92954
140.152,73,5.31083
140.152,74,7.7503
140.152,75,7.54093
140.152,76,8.16833
140.152,78,14.8118
140.153,70,5.38981
140.153,71,6.13506
140.153,72,4.92954
140.153,73,5.31083
140.153,74,7.7503
140.153,75,7.54093
140.153,76,8.16833
140.153,78,14.8118
140.154,70,5.38981
140.154,71,6.13506
140.154,72,4.92954
140.154,73,5.31083
140.154,74,7.7503
140.154,75,7.54093
140.154,76,8.16833
140.154,78,14.8118
140.166,70,5.38981
140.166,71,6.13506
140.166,72,4.92954
140.166,73,5.31083
140.166,74,7.7503
140.166,75,7.54093
140.166,76,8.16833
140.166,78,14.8118
140.167,70,5.38981
140.167,71,6.13506
140.167,72,4.92954
140.167,73,5.31083
140.167,74,7.7503
140.167,75,7.54093
140.167,76,8.16833
140.167,78,14.8118
140.168,70,5.34777
140.168,71,6.09744
140.168,72,4.89184
140.168,73,5.27267
140.168,74,7.75646
140.168,75,7.54395
140.168,76,8.169
140.168,78,14.7707
140.18,70,5.34777
140.18,71,6.09744
140.18,72,4.89184
140.18,73,5.27267
140.18,74,7.75646
140.18,75,7.54395
140.18,76,8.169
140.18,78,14.7707
140.181,70,5.34777
140.181,71,6.09744
140.181,72,4.89184
140.181,73,5.27267
140.181,74,7.75646
140.181,75,7.54395
140.181,76,8.169
140.181,78,14.7707
140.182,70,5.34777
140.182,71,6.09744
140.182,72,4.89184
140.182,73,5.27267
140.182,74,7.75646
140.182,75,7.54395
140.182,76,8.169
140.182,78,14.7707
140.194,70,5.34777
140.194,71,6.09744
140.194,72,4.89184
140.194,73,5.27267
140.194,74,7.75646
140.194,75,7.54395
140.194,76,8.169
140.194,78,14.7707
140.195,70,5.34777
140.195,71,6.09744
140.195,72,4.89184
140.195,73,5.27267
140.195,74,7.75646
140.195,75,7.54395
140.195,76,8.169
140.195,78,14.7707
140.196,70,5.34777
140.196,71,6.09744
140.196,72,4.89184
140.196,73,5.27267
140.196,74,7.75646
140.196,75,7.54395
140.196,76,8.169
140.196,78,14.7707
140.208,70,5.34777
140.208,71,6.09744
140.208,72,4.89184
140.208,73,5.27267
140.208,74,7.75646
140.208,75,7.54395
140.208,76,8.169
140.208,78,14.7707
140.209,70,5.30549
140.209,71,6.05947
140.209,72,4.85397
140.209,73,5.23422
140.209,74,7.76172
140.209,75,7.54626
140.209,76,8.16904
140.209,78,14.7276
140.21,70,5.30549
140.21,71,6.05947
140.21,72,4.85397
140.21,73,5.23422
140.21,74,7.76172
140.21,75,7.54626
140.21,76,8.16904
140.21,78,14.7276
140.222,70,5.30549
140.222,71,6.05947
140.222,72,4.85397
140.222,73,5.23422
140.222,74,7.76172
140.222,75,7.54626
140.222,76,8.16904
140.222,78,14.7276
140.223,70,5.30549
140.223,71,6.05947
140.223,72,4.85397
140.223,73,5.23422
140.223,74,7.76172
140.223,75,7.54626
140.223,76,8.16904
140.223,78,14.7276
