Time (s),Agent ID,Distance
140.043,2,8.0103
140.043,3,7.13624
140.043,4,5.22592
140.043,5,5.61046
140.043,6,7.14126
140.044,2,8.0103
140.044,3,7.13624
140.044,4,5.22592
140.044,5,5.61046
140.044,6,7.14126
140.06,2,8.0103
140.06,3,7.13624
140.06,4,5.22592
140.06,5,5.61046
140.06,6,7.14126
140.061,2,8.0103
140.061,3,7.13624
140.061,4,5.22592
140.061,5,5.61046
140.061,6,7.14126
140.062,2,8.0103
140.062,3,7.13624
140.062,4,5.22592
140.062,5,5.61046
140.062,6,7.14126
140.078,2,8.0103
140.078,3,7.13624
140.078,4,5.22592
140.078,5,5.61046
140.078,6,7.14126
140.079,2,8.00287
140.079,3,7.12617
140.079,4,5.18544
140.079,5,5.57423
140.079,6,7.13875
140.08,2,8.00287
140.08,3,7.12617
140.08,4,5.18544
140.08,5,5.57423
140.08,6,7.13875
140.096,2,8.00287
140.096,3,7.12617
140.096,4,5.18544
140.096,5,5.57423
140.096,6,7.13875
140.097,2,8.00287
140.097,3,7.12617
140.097,4,5.18544
140.097,5,5.57423
140.097,6,7.13875
140.113,2,8.00287
140.113,3,7.12617
140.113,4,5.18544
140.113,5,5.57423
140.113,6,7.13875
140.114,2,7.99389
140.114,3,7.11352
140.114,4,5.14112
140.114,5,5.53549
140.114,6,7.13485
140.115,2,7.99389
140.115,3,7.11352
140.115,4,5.14112
140.115,5,5.53549
140.115,6,7.13485
140.131,2,7.99389
140.131,3,7.11352
140.131,4,5.14112
140.131,5,5.53549
140.131,6,7.13485
140.132,2,7.99389
140.132,3,7.11352
140.132,4,5.14112
140.132,5,5.53549
140.132,6,7.13485
140.133,2,7.99389
140.133,3,7.11352
140.133,4,5.14112
140.133,5,5.53549
140.133,6,7.13485
140.149,2,7.98332
140.149,3,7.0985
140.149,4,5.09553
140.149,5,5.49502
140.149,6,7.1296
140.15,2,7.98332
140.15,3,7.0985
140.15,4,5.09553
140.15,5,5.49502
140.15,6,7.1296
140.151,2,7.98332
140.151,3,7.0985
140.151,4,5.09553
140.151,5,5.49502
140.151,6,7.1296
140.167,2,7.98332
140.167,3,7.0985
140.167,4,5.09553
140.167,5,5.49502
140.167,6,7.1296
140.168,2,7.97105
140.168,3,7.08119
140.168,4,5.04748
140.168,5,5.4467
140.168,6,7.1235
140.184,2,7.97105
140.184,3,7.08119
140.184,4,5.04748
140.184,5,5.4467
140.184,6,7.1235
140.185,2,7.97105
140.185,3,7.08119
140.185,4,5.04748
140.185,5,5.4467
140.185,6,7.1235
140.201,2,7.97105
140.201,3,7.08119
140.201,4,5.04748
140.201,5,5.4467
140.201,6,7.1235
140.202,2,7.957
140.202,3,7.06167
140.202,4,4.99767
140.202,5,5.40271
140.202,6,7.13128
140.203,2,7.957
140.203,3,7.06167
140.203,4,4.99767
140.203,5,5.40271
140.203,6,7.13128
140.219,2,7.957
140.219,3,7.06167
140.219,4,4.99767
140.219,5,5.40271
140.219,6,7.13128
140.221,2,7.957
140.221,3,7.06167
140.221,4,4.99767
140.221,5,5.40271
140.221,6,7.13128
140.237,2,7.957
140.237,3,7.06167
140.237,4,4.99767
140.237,5,5.40271
140.237,6,7.13128
140.238,2,7.94152
140.238,3,7.04024
140.238,4,4.94595
140.238,5,5.35689
140.238,6,7.12575
140.254,2,7.94152
140.254,3,7.04024
140.254,4,4.94595
140.254,5,5.35689
140.254,6,7.12575
140.255,2,7.94152
140.255,3,7.04024
140.255,4,4.94595
140.255,5,5.35689
140.255,6,7.12575
140.256,2,7.94152
140.256,3,7.04024
140.256,4,4.94595
140.256,5,5.35689
140.256,6,7.12575
140.272,2,7.94152
140.272,3,7.04024
140.272,4,4.94595
140.272,5,5.35689
140.272,6,7.12575
140.273,2,7.92465
140.273,3,7.01723
140.273,4,4.89216
140.273,5,5.30946
140.273,6,7.11967
140.274,2,7.92465
140.274,3,7.01723
140.274,4,4.89216
140.274,5,5.30946
140.274,6,7.11967
140.29,2,7.92465
140.29,3,7.01723
140.29,4,4.89216
140.29,5,5.30946
140.29,6,7.11967
140.291,2,7.92465
140.291,3,7.01723
140.291,4,4.89216
140.291,5,5.30946
140.291,6,7.11967
140.307,2,7.92465
140.307,3,7.01723
140.307,4,4.89216
140.307,5,5.30946
140.307,6,7.11967
140.308,2,7.90578
140.308,3,6.9927
140.308,4,4.83701
140.308,5,5.26112
140.308,6,7.1126
140.309,2,7.90578
140.309,3,6.9927
140.309,4,4.83701
140.309,5,5.26112
140.309,6,7.1126
