Time (s),Agent ID,Distance
140.046,121,9.35955
140.046,122,9.28756
140.046,123,12.218
140.062,121,9.35955
140.062,122,9.28756
140.062,123,12.218
140.063,121,9.35955
140.063,122,9.28756
140.063,123,12.218
140.064,121,9.35955
140.064,122,9.28756
140.064,123,12.218
140.08,121,9.35955
140.08,122,9.28756
140.08,123,12.218
140.081,121,9.3615
140.081,122,9.28911
140.081,123,12.2075
140.082,121,9.3615
140.082,122,9.28911
140.082,123,12.2075
140.098,121,9.3615
140.098,122,9.28911
140.098,123,12.2075
140.099,121,9.3615
140.099,122,9.28911
140.099,123,12.2075
140.1,121,9.36327
140.1,122,9.2905
140.1,123,12.1968
140.116,121,9.36327
140.116,122,9.2905
140.116,123,12.1968
140.117,121,9.36327
140.117,122,9.2905
140.117,123,12.1968
140.133,121,9.36327
140.133,122,9.2905
140.133,123,12.1968
140.134,121,9.3649
140.134,122,9.29176
140.134,123,12.1861
140.135,121,9.3649
140.135,122,9.29176
140.135,123,12.1861
140.151,121,9.3649
140.151,122,9.29176
140.151,123,12.1861
140.152,121,9.3649
140.152,122,9.29176
140.152,123,12.1861
140.168,121,9.3649
140.168,122,9.29176
140.168,123,12.1861
140.169,121,9.36637
140.169,122,9.29296
140.169,123,12.1752
140.17,121,9.36637
140.17,122,9.29296
140.17,123,12.1752
140.186,121,9.36637
140.186,122,9.29296
140.186,123,12.1752
140.187,121,9.36637
140.187,122,9.29296
140.187,123,12.1752
140.203,121,9.36637
140.203,122,9.29296
140.203,123,12.1752
140.204,121,9.36772
140.204,122,9.29409
140.204,123,12.1641
140.205,121,9.36772
140.205,122,9.29409
140.205,123,12.1641
140.221,121,9.36772
140.221,122,9.29409
140.221,123,12.1641
140.222,121,9.36772
140.222,122,9.29409
140.222,123,12.1641
140.238,121,9.36772
140.238,122,9.29409
140.238,123,12.1641
140.239,121,9.36889
140.239,122,9.2951
140.239,123,12.1529
140.24,121,9.36889
140.24,122,9.2951
140.24,123,12.1529
140.256,121,9.36889
140.256,122,9.2951
140.256,123,12.1529
140.257,121,9.36889
140.257,122,9.2951
140.257,123,12.1529
140.258,121,9.36889
140.258,122,9.2951
140.258,123,12.1529
140.274,121,9.36889
140.274,122,9.2951
140.274,123,12.1529
140.275,121,9.36988
140.275,122,9.29598
140.275,123,12.1415
140.276,121,9.36988
140.276,122,9.29598
140.276,123,12.1415
140.292,121,9.36988
140.292,122,9.29598
140.292,123,12.1415
140.293,121,9.36988
140.293,122,9.29598
140.293,123,12.1415
140.309,121,9.36988
140.309,122,9.29598
140.309,123,12.1415
140.31,121,9.37068
140.31,122,9.29672
140.31,123,12.1301
140.311,121,9.37068
140.311,122,9.29672
140.311,123,12.1301
140.327,121,9.37068
140.327,122,9.29672
140.327,123,12.1301
140.328,121,9.37068
140.328,122,9.29672
140.328,123,12.1301
140.329,121,9.37068
140.329,122,9.29672
140.329,123,12.1301
140.345,121,9.37068
140.345,122,9.29672
140.345,123,12.1301
140.346,121,9.37136
140.346,122,9.29726
140.346,123,12.1185
140.347,121,9.37136
140.347,122,9.29726
140.347,123,12.1185
140.363,121,9.37136
140.363,122,9.29726
140.363,123,12.1185
140.364,121,9.37136
140.364,122,9.29726
140.364,123,12.1185
140.365,121,9.37136
140.365,122,9.29726
140.365,123,12.1185
140.381,121,9.37136
140.381,122,9.29726
140.381,123,12.1185
140.383,121,9.37185
140.383,122,9.29769
140.383,123,12.1069
140.399,121,9.37185
140.399,122,9.29769
140.399,123,12.1069
140.4,121,9.37185
140.4,122,9.29769
140.4,123,12.1069
140.401,121,9.37185
140.401,122,9.29769
140.401,123,12.1069
140.417,121,9.37185
140.417,122,9.29769
140.417,123,12.1069
140.418,121,9.37216
140.418,122,9.29802
140.418,123,12.0951
140.434,121,9.37216
140.434,122,9.29802
140.434,123,12.0951
140.435,121,9.37216
140.435,122,9.29802
140.435,123,12.0951
140.436,121,9.37216
140.436,122,9.29802
140.436,123,12.0951
140.452,121,9.37216
140.452,122,9.29802
140.452,123,12.0951
140.453,121,9.37232
140.453,122,9.29827
140.453,123,12.0831
140.469,121,9.37232
140.469,122,9.29827
140.469,123,12.0831
140.47,121,9.37232
140.47,122,9.29827
140.47,123,12.0831
140.471,121,9.37232
140.471,122,9.29827
140.471,123,12.0831
140.487,121,9.37232
140.487,122,9.29827
140.487,123,12.0831
140.488,121,9.37235
140.488,122,9.29844
140.488,123,12.0709
140.504,121,9.37235
140.504,122,9.29844
140.504,123,12.0709
140.505,121,9.37235
140.505,122,9.29844
140.505,123,12.0709
140.506,121,9.37235
140.506,122,9.29844
140.506,123,12.0709
140.522,121,9.37235
140.522,122,9.29844
140.522,123,12.0709
140.523,121,9.37229
140.523,122,9.29855
140.523,123,12.0586
140.524,121,9.37229
140.524,122,9.29855
140.524,123,12.0586
140.54,121,9.37229
140.54,122,9.29855
140.54,123,12.0586
140.541,121,9.37229
140.541,122,9.29855
140.541,123,12.0586
140.542,121,9.37205
140.542,122,9.29853
140.542,123,12.0462
140.558,121,9.37205
140.558,122,9.29853
140.558,123,12.0462
140.559,121,9.37205
140.559,122,9.29853
140.559,123,12.0462
140.575,121,9.37205
140.575,122,9.29853
140.575,123,12.0462
140.576,121,9.3716
140.576,122,9.2983
140.576,123,12.0338
140.577,121,9.3716
140.577,122,9.2983
140.577,123,12.0338
140.593,121,9.3716
140.593,122,9.2983
140.593,123,12.0338
140.594,121,9.3716
140.594,122,9.2983
140.594,123,12.0338
140.61,121,9.3716
140.61,122,9.2983
140.61,123,12.0338
140.611,121,9.37099
140.611,122,9.29803
140.611,123,12.0214
140.612,121,9.37099
140.612,122,9.29803
140.612,123,12.0214
140.628,121,9.37099
140.628,122,9.29803
140.628,123,12.0214
140.629,121,9.37099
140.629,122,9.29803
140.629,123,12.0214
140.645,121,9.37099
140.645,122,9.29803
140.645,123,12.0214
140.646,121,9.37035
140.646,122,9.29773
140.646,123,12.0088
140.647,121,9.37035
140.647,122,9.29773
140.647,123,12.0088
140.663,121,9.37035
140.663,122,9.29773
140.663,123,12.0088
140.664,121,9.37035
140.664,122,9.29773
140.664,123,12.0088
140.68,121,9.37035
140.68,122,9.29773
140.68,123,12.0088
140.681,121,9.36967
140.681,122,9.2974
140.681,123,11.996
140.682,121,9.36967
140.682,122,9.2974
140.682,123,11.996
140.698,121,9.36967
140.698,122,9.2974
140.698,123,11.996
140.699,121,9.36967
140.699,122,9.2974
140.699,123,11.996
140.7,121,9.36967
140.7,122,9.2974
140.7,123,11.996
140.716,121,9.36967
140.716,122,9.2974
140.716,123,11.996
140.717,121,9.36887
140.717,122,9.29681
140.717,123,11.9832
140.718,121,9.36887
140.718,122,9.29681
140.718,123,11.9832
140.734,121,9.36887
140.734,122,9.29681
140.734,123,11.9832
140.735,121,9.36887
140.735,122,9.29681
140.735,123,11.9832
140.751,121,9.36887
140.751,122,9.29681
140.751,123,11.9832
140.752,121,9.36785
140.752,122,9.29609
140.752,123,11.9702
140.753,121,9.36785
140.753,122,9.29609
140.753,123,11.9702
140.769,121,9.36785
140.769,122,9.29609
140.769,123,11.9702
140.77,121,9.36785
140.77,122,9.29609
140.77,123,11.9702
140.771,121,9.36785
140.771,122,9.29609
140.771,123,11.9702
140.787,121,9.36785
140.787,122,9.29609
140.787,123,11.9702
140.788,121,9.36671
140.788,122,9.29537
140.788,123,11.9572
