Time (s),Agent ID,Distance
140.04,145,6.34585
140.04,146,6.25173
140.04,147,9.03442
140.04,148,15.3044
140.04,149,1.64903
140.041,145,6.34585
140.041,146,6.25173
140.041,147,9.03442
140.041,148,15.3044
140.041,149,1.64903
140.056,145,6.34585
140.056,146,6.25173
140.056,147,9.03442
140.056,148,15.3044
140.056,149,1.64903
140.057,145,6.34585
140.057,146,6.25173
140.057,147,9.03442
140.057,148,15.3044
140.057,149,1.64903
140.058,145,6.34585
140.058,146,6.25173
140.058,147,9.03442
140.058,148,15.3044
140.058,149,1.64903
140.073,145,6.34585
140.073,146,6.25173
140.073,147,9.03442
140.073,148,15.3044
140.073,149,1.64903
140.074,145,6.32193
140.074,146,6.22753
140.074,147,9.00972
140.074,148,15.2822
140.074,149,1.66201
140.075,145,6.32193
140.075,146,6.22753
140.075,147,9.00972
140.075,148,15.2822
140.075,149,1.66201
140.09,145,6.32193
140.09,146,6.22753
140.09,147,9.00972
140.09,148,15.2822
140.09,149,1.66201
140.091,145,6.32193
140.091,146,6.22753
140.091,147,9.00972
140.091,148,15.2822
140.091,149,1.66201
140.092,145,6.32193
140.092,146,6.22753
140.092,147,9.00972
140.092,148,15.2822
140.092,149,1.66201
140.107,145,6.32193
140.107,146,6.22753
140.107,147,9.00972
140.107,148,15.2822
140.107,149,1.66201
140.108,145,6.29735
140.108,146,6.20254
140.108,147,8.98438
140.108,148,15.259
140.108,149,1.67484
140.109,145,6.29735
140.109,146,6.20254
140.109,147,8.98438
140.109,148,15.259
140.109,149,1.67484
140.124,145,6.29735
140.124,146,6.20254
140.124,147,8.98438
140.124,148,15.259
140.124,149,1.67484
140.125,145,6.29735
140.125,146,6.20254
140.125,147,8.98438
140.125,148,15.259
140.125,149,1.67484
140.126,145,6.29735
140.126,146,6.20254
140.126,147,8.98438
140.126,148,15.259
140.126,149,1.67484
140.141,145,6.29735
140.141,146,6.20254
140.141,147,8.98438
140.141,148,15.259
140.141,149,1.67484
140.142,145,6.27225
140.142,146,6.1775
140.142,147,8.95887
140.142,148,15.236
140.142,149,1.68722
140.143,145,6.27225
140.143,146,6.1775
140.143,147,8.95887
140.143,148,15.236
140.143,149,1.68722
140.158,145,6.27225
140.158,146,6.1775
140.158,147,8.95887
140.158,148,15.236
140.158,149,1.68722
140.159,145,6.27225
140.159,146,6.1775
140.159,147,8.95887
140.159,148,15.236
140.159,149,1.68722
140.16,145,6.27225
140.16,146,6.1775
140.16,147,8.95887
140.16,148,15.236
140.16,149,1.68722
140.175,145,6.27225
140.175,146,6.1775
140.175,147,8.95887
140.175,148,15.236
140.175,149,1.68722
140.176,145,6.24683
140.176,146,6.15205
140.176,147,8.93289
140.176,148,15.2124
140.176,149,1.69928
140.177,145,6.24683
140.177,146,6.15205
140.177,147,8.93289
140.177,148,15.2124
140.177,149,1.69928
140.192,145,6.24683
140.192,146,6.15205
140.192,147,8.93289
140.192,148,15.2124
140.192,149,1.69928
140.193,145,6.24683
140.193,146,6.15205
140.193,147,8.93289
140.193,148,15.2124
140.193,149,1.69928
140.194,145,6.24683
140.194,146,6.15205
140.194,147,8.93289
140.194,148,15.2124
140.194,149,1.69928
140.209,145,6.24683
140.209,146,6.15205
140.209,147,8.93289
140.209,148,15.2124
140.209,149,1.69928
140.21,145,6.22126
140.21,146,6.12323
140.21,147,8.90676
140.21,148,15.1888
140.21,149,1.71071
140.211,145,6.22126
140.211,146,6.12323
140.211,147,8.90676
140.211,148,15.1888
140.211,149,1.71071
140.226,145,6.22126
140.226,146,6.12323
140.226,147,8.90676
140.226,148,15.1888
140.226,149,1.71071
140.227,145,6.22126
140.227,146,6.12323
140.227,147,8.90676
140.227,148,15.1888
140.227,149,1.71071
140.228,145,6.22126
140.228,146,6.12323
140.228,147,8.90676
140.228,148,15.1888
140.228,149,1.71071
140.243,145,6.22126
140.243,146,6.12323
140.243,147,8.90676
140.243,148,15.1888
140.243,149,1.71071
140.244,145,6.19526
140.244,146,6.09734
140.244,147,8.88012
140.244,148,15.165
140.244,149,1.72169
140.245,145,6.19526
140.245,146,6.09734
140.245,147,8.88012
140.245,148,15.165
140.245,149,1.72169
140.26,145,6.19526
140.26,146,6.09734
140.26,147,8.88012
140.26,148,15.165
140.26,149,1.72169
140.261,145,6.19526
140.261,146,6.09734
140.261,147,8.88012
140.261,148,15.165
140.261,149,1.72169
140.262,145,6.19526
140.262,146,6.09734
140.262,147,8.88012
140.262,148,15.165
140.262,149,1.72169
140.277,145,6.19526
140.277,146,6.09734
140.277,147,8.88012
140.277,148,15.165
140.277,149,1.72169
140.278,145,6.16858
140.278,146,6.07089
140.278,147,8.85298
140.278,148,15.1407
140.278,149,1.73243
140.279,145,6.16858
140.279,146,6.07089
140.279,147,8.85298
140.279,148,15.1407
140.279,149,1.73243
140.294,145,6.16858
140.294,146,6.07089
140.294,147,8.85298
140.294,148,15.1407
140.294,149,1.73243
140.295,145,6.16858
140.295,146,6.07089
140.295,147,8.85298
140.295,148,15.1407
140.295,149,1.73243
140.296,145,6.16858
140.296,146,6.07089
140.296,147,8.85298
140.296,148,15.1407
140.296,149,1.73243
140.311,145,6.16858
140.311,146,6.07089
140.311,147,8.85298
140.311,148,15.1407
140.311,149,1.73243
140.313,145,6.14165
140.313,146,6.04437
140.313,147,8.82558
140.313,148,15.1164
140.313,149,1.7425
140.328,145,6.14165
140.328,146,6.04437
140.328,147,8.82558
140.328,148,15.1164
140.328,149,1.7425
140.33,145,6.14165
140.33,146,6.04437
140.33,147,8.82558
140.33,148,15.1164
140.33,149,1.7425
140.345,145,6.14165
140.345,146,6.04437
140.345,147,8.82558
140.345,148,15.1164
140.345,149,1.7425
140.346,145,6.11476
140.346,146,6.01778
140.346,147,8.79786
140.346,148,15.092
140.346,149,1.75194
140.347,145,6.11476
140.347,146,6.01778
140.347,147,8.79786
140.347,148,15.092
140.347,149,1.75194
140.362,145,6.11476
140.362,146,6.01778
140.362,147,8.79786
140.362,148,15.092
140.362,149,1.75194
140.363,145,6.11476
140.363,146,6.01778
140.363,147,8.79786
140.363,148,15.092
140.363,149,1.75194
140.364,145,6.11476
140.364,146,6.01778
140.364,147,8.79786
140.364,148,15.092
140.364,149,1.75194
140.379,145,6.11476
140.379,146,6.01778
140.379,147,8.79786
140.379,148,15.092
140.379,149,1.75194
140.38,145,6.08087
140.38,146,5.99091
140.38,147,8.76964
140.38,148,15.0674
140.38,149,1.76094
140.381,145,6.08087
140.381,146,5.99091
140.381,147,8.76964
140.381,148,15.0674
140.381,149,1.76094
140.396,145,6.08087
140.396,146,5.99091
140.396,147,8.76964
140.396,148,15.0674
140.396,149,1.76094
140.397,145,6.08087
140.397,146,5.99091
140.397,147,8.76964
140.397,148,15.0674
140.397,149,1.76094
140.398,145,6.08087
140.398,146,5.99091
140.398,147,8.76964
140.398,148,15.0674
140.398,149,1.76094
140.413,145,6.08087
140.413,146,5.99091
140.413,147,8.76964
140.413,148,15.0674
140.413,149,1.76094
140.414,145,6.05306
140.414,146,5.96365
140.414,147,8.74078
140.414,148,15.0423
140.414,149,1.76945
140.415,145,6.05306
140.415,146,5.96365
140.415,147,8.74078
140.415,148,15.0423
140.415,149,1.76945
140.43,145,6.05306
140.43,146,5.96365
140.43,147,8.74078
140.43,148,15.0423
140.43,149,1.76945
140.431,145,6.05306
140.431,146,5.96365
140.431,147,8.74078
140.431,148,15.0423
140.431,149,1.76945
140.432,145,6.05306
140.432,146,5.96365
140.432,147,8.74078
140.432,148,15.0423
140.432,149,1.76945
140.447,145,6.05306
140.447,146,5.96365
140.447,147,8.74078
140.447,148,15.0423
140.447,149,1.76945
140.448,145,6.02486
140.448,146,5.93603
140.448,147,8.71174
140.448,148,15.0171
140.448,149,1.77742
140.449,145,6.02486
140.449,146,5.93603
140.449,147,8.71174
140.449,148,15.0171
140.449,149,1.77742
140.464,145,6.02486
140.464,146,5.93603
140.464,147,8.71174
140.464,148,15.0171
140.464,149,1.77742
140.465,145,6.02486
140.465,146,5.93603
140.465,147,8.71174
140.465,148,15.0171
140.465,149,1.77742
140.466,145,6.02486
140.466,146,5.93603
140.466,147,8.71174
140.466,148,15.0171
140.466,149,1.77742
140.481,145,6.02486
140.481,146,5.93603
140.481,147,8.71174
140.481,148,15.0171
140.481,149,1.77742
140.482,145,5.99663
140.482,146,5.90832
140.482,147,8.68207
140.482,148,14.9914
140.482,149,1.78472
140.483,145,5.99663
140.483,146,5.90832
140.483,147,8.68207
140.483,148,14.9914
140.483,149,1.78472
140.498,145,5.99663
140.498,146,5.90832
140.498,147,8.68207
140.498,148,14.9914
140.498,149,1.78472
140.499,145,5.99663
140.499,146,5.90832
140.499,147,8.68207
140.499,148,14.9914
140.499,149,1.78472
140.5,145,5.99663
140.5,146,5.90832
140.5,147,8.68207
140.5,148,14.9914
140.5,149,1.78472
140.515,145,5.99663
140.515,146,5.90832
140.515,147,8.68207
140.515,148,14.9914
140.515,149,1.78472
140.516,145,5.96801
140.516,146,5.88004
140.516,147,8.65186
140.516,148,14.9654
140.516,149,1.79158
140.517,145,5.96801
140.517,146,5.88004
140.517,147,8.65186
140.517,148,14.9654
140.517,149,1.79158
140.532,145,5.96801
140.532,146,5.88004
140.532,147,8.65186
140.532,148,14.9654
140.532,149,1.79158
140.533,145,5.96801
140.533,146,5.88004
140.533,147,8.65186
140.533,148,14.9654
140.533,149,1.79158
140.534,145,5.96801
140.534,146,5.88004
140.534,147,8.65186
140.534,148,14.9654
140.534,149,1.79158
140.549,145,5.96801
140.549,146,5.88004
140.549,147,8.65186
140.549,148,14.9654
140.549,149,1.79158
140.55,145,5.93881
140.55,146,5.85104
140.55,147,8.62097
140.55,148,14.9385
140.55,149,1.79801
140.551,145,5.93881
140.551,146,5.85104
140.551,147,8.62097
140.551,148,14.9385
140.551,149,1.79801
140.566,145,5.93881
140.566,146,5.85104
140.566,147,8.62097
140.566,148,14.9385
140.566,149,1.79801
140.567,145,5.93881
140.567,146,5.85104
140.567,147,8.62097
140.567,148,14.9385
140.567,149,1.79801
140.568,145,5.93881
140.568,146,5.85104
140.568,147,8.62097
140.568,148,14.9385
140.568,149,1.79801
140.583,145,5.93881
140.583,146,5.85104
140.583,147,8.62097
140.583,148,14.9385
140.583,149,1.79801
140.584,145,5.91
140.584,146,5.82216
140.584,147,8.58977
140.584,148,14.912
140.584,149,1.80379
140.585,145,5.91
140.585,146,5.82216
140.585,147,8.58977
140.585,148,14.912
140.585,149,1.80379
140.6,145,5.91
140.6,146,5.82216
140.6,147,8.58977
140.6,148,14.912
140.6,149,1.80379
140.601,145,5.91
140.601,146,5.82216
140.601,147,8.58977
140.601,148,14.912
140.601,149,1.80379
140.602,145,5.91
140.602,146,5.82216
140.602,147,8.58977
140.602,148,14.912
140.602,149,1.80379
140.617,145,5.91
140.617,146,5.82216
140.617,147,8.58977
140.617,148,14.912
140.617,149,1.80379
140.618,145,5.88012
140.618,146,5.79232
140.618,147,8.5578
140.618,148,14.8843
140.618,149,1.80923
140.619,145,5.88012
140.619,146,5.79232
140.619,147,8.5578
140.619,148,14.8843
140.619,149,1.80923
140.634,145,5.88012
140.634,146,5.79232
140.634,147,8.5578
140.634,148,14.8843
140.634,149,1.80923
140.635,145,5.88012
140.635,146,5.79232
140.635,147,8.5578
140.635,148,14.8843
140.635,149,1.80923
140.636,145,5.88012
140.636,146,5.79232
140.636,147,8.5578
140.636,148,14.8843
140.636,149,1.80923
140.651,145,5.88012
140.651,146,5.79232
140.651,147,8.5578
140.651,148,14.8843
140.651,149,1.80923
140.652,145,5.84988
140.652,146,5.76194
140.652,147,8.52519
140.652,148,14.8566
140.652,149,1.81398
140.653,145,5.84988
140.653,146,5.76194
140.653,147,8.52519
140.653,148,14.8566
140.653,149,1.81398
140.668,145,5.84988
140.668,146,5.76194
140.668,147,8.52519
140.668,148,14.8566
140.668,149,1.81398
140.669,145,5.84988
140.669,146,5.76194
140.669,147,8.52519
140.669,148,14.8566
140.669,149,1.81398
140.67,145,5.84988
140.67,146,5.76194
140.67,147,8.52519
140.67,148,14.8566
140.67,149,1.81398
140.685,145,5.84988
140.685,146,5.76194
140.685,147,8.52519
140.685,148,14.8566
140.685,149,1.81398
140.686,145,5.8193
140.686,146,5.73102
140.686,147,8.49202
140.686,148,14.8281
140.686,149,1.81834
140.687,145,5.8193
140.687,146,5.73102
140.687,147,8.49202
140.687,148,14.8281
140.687,149,1.81834
140.702,145,5.8193
140.702,146,5.73102
140.702,147,8.49202
140.702,148,14.8281
140.702,149,1.81834
140.703,145,5.8193
140.703,146,5.73102
