Agent Id,Init Time (s),End Time (s),Time In Personal Area
252,140.037,140.478,0.441
254,140.037,142.174,2.137
259,148.877,151.358,2.481
263,154.486,156.318,1.832
268,154.758,155.774,1.016
276,161.486,162.238,0.752
285,171.554,172.13,0.576
